rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,CHN / CHN,"ZHENG Si Wei, CHEN Qing Chen",0,46 - 7,"$472,833.74","92,937 / 16","https://bwfbadminton.com/player/83046/zheng-si-wei,https://bwfbadminton.com/player/94125/chen-qing-chen","83046, 94125"
2,CHN / CHN,"LU Kai, HUANG Ya Qiong",0,87 - 36,"$401,153.73","83,135 / 15","https://bwfbadminton.com/player/28549/lu-kai,https://bwfbadminton.com/player/63168/huang-ya-qiong","28549, 63168"
3,INA / INA,"Praveen JORDAN, Debby SUSANTO",+2,85 - 45,"$311,293.09","70,405 / 16","https://bwfbadminton.com/player/89916/praveen-jordan,https://bwfbadminton.com/player/4425/debby-susanto","89916, 4425"
4,INA / INA,"Tontowi AHMAD, Liliyana NATSIR",-1,235 - 65,"$1,023,272.49","70,030 / 10","https://bwfbadminton.com/player/54267/tontowi-ahmad,https://bwfbadminton.com/player/14727/liliyana-natsir","54267, 14727"
5,ENG / ENG,"Chris ADCOCK, Gabrielle ADCOCK",-1,161 - 98,"$385,781.01","69,822 / 17","https://bwfbadminton.com/player/70333/chris-adcock,https://bwfbadminton.com/player/62844/gabrielle-adcock","70333, 62844"
6,CHN / CHN,"ZHANG Nan, LI Yin Hui",0,0 - 0,"$644,081.25","67,220 / 13","https://bwfbadminton.com/player/35357/zhang-nan,https://bwfbadminton.com/player/82249/li-yin-hui","35357, 82249"
7,DEN / DEN,"Joachim FISCHER NIELSEN, Christinna PEDERSEN",0,256 - 79,"$838,732.73","65,234 / 14","https://bwfbadminton.com/player/10513/joachim-fischer-nielsen,https://bwfbadminton.com/player/53759/christinna-pedersen","10513, 53759"
8,CHN / CHN,"WANG Yi Lyu, HUANG Dong Ping",+1,0 - 0,"$77,648.13","63,710 / 12","https://bwfbadminton.com/player/99452/wang-yi-lyu,https://bwfbadminton.com/player/89426/huang-dong-ping","99452, 89426"
9,THA / THA,"Dechapol PUAVARANUKROH, Sapsiree TAERATTANACHAI",-1,23 - 13,"$77,497.50","61,279 / 16","https://bwfbadminton.com/player/61731/dechapol-puavaranukroh,https://bwfbadminton.com/player/67158/sapsiree-taerattanachai","61731, 67158"
10,MAS / MAS,"TAN Kian Meng, LAI Pei Jing",0,22 - 11,"$89,795.59","54,460 / 18","https://bwfbadminton.com/player/67654/tan-kian-meng,https://bwfbadminton.com/player/47007/lai-pei-jing","67654, 47007"
11,HKG / HKG,"LEE Chun Hei Reginald, CHAU Hoi Wah",+1,98 - 63,"$195,530.84","53,162 / 17","https://bwfbadminton.com/player/92609/lee-chun-hei-reginald,https://bwfbadminton.com/player/55285/chau-hoi-wah","92609, 55285"
12,KOR / KOR,"CHOI SolGyu, CHAE YuJung",-1,33 - 16,"$102,872.50","52,326 / 18","https://bwfbadminton.com/player/67810/choi-solgyu,https://bwfbadminton.com/player/93074/chae-yujung","67810, 93074"
