rank,rank_change,prev_rank,country,player1,player2,member_id1,member_id2,points,tournaments,profile_link1,profile_link2
305,0,305,MKD/MDA,Filip MIHAILOVSKI,Dragana VOLKANOVSKA,67796,99505,1730,2,https://bwf.tournamentsoftware.com/player-profile/813CC7D6-16DE-4799-BDEB-24926C05A935,https://bwf.tournamentsoftware.com/player-profile/FD34082A-032C-4B9E-B1A8-8B727A66708D
309,0,309,NZL/NZL,Brent MILLER,Emma CHAPPLE,54740,57043,1720,2,https://bwf.tournamentsoftware.com/player-profile/33BB8026-C4EC-4DD9-A4DF-4DEA695294E4,https://bwf.tournamentsoftware.com/player-profile/36493E8F-7913-48AD-B66B-2B8D7F612869
309,0,309,NZL/NZL,Praveen TAYALAN,Michelle CHAN HK,67055,83800,1720,2,https://bwf.tournamentsoftware.com/player-profile/83DF37CD-866F-4BF3-8643-E47B66CE15B9,https://bwf.tournamentsoftware.com/player-profile/596034BF-4DAE-4CC7-B62F-C443F1030B58
309,0,309,NZL/NZL,Simon KOO,Kritteka GREGORY,14354,57051,1720,2,https://bwf.tournamentsoftware.com/player-profile/47E34997-86D9-400B-9DEA-0D4171D49C04,https://bwf.tournamentsoftware.com/player-profile/28D16256-2161-4359-86C8-D84486F75546
309,0,309,NZL/NZL,Jian Dee CHEW,Anna RANKIN,52710,38708,1720,2,https://bwf.tournamentsoftware.com/player-profile/39EECE3E-2A55-4F0C-A429-DB3FE6A8F044,https://bwf.tournamentsoftware.com/player-profile/BC6D9B3F-0FE0-430F-B64A-EFA32B2A4991
313,0,313,EGY/EGY,Ali Ahmed EL KHATEEB,Noran Hassan EL BANNA,80660,63827,1680,3,https://bwf.tournamentsoftware.com/player-profile/639CB013-F742-4E63-BD5B-3DCE2CE83ED8,https://bwf.tournamentsoftware.com/player-profile/A55499B6-FE50-495D-9F33-3D567D50D7C3
314,0,314,BLR/BLR,Yauheni YAKAUCHUK,Anastasiya CHERNIAVSKAYA,52302,94400,1620,2,https://bwf.tournamentsoftware.com/player-profile/BF3986FE-5BAD-47DA-A877-6ED16B2ABA11,https://bwf.tournamentsoftware.com/player-profile/13CA8C78-6969-473C-BF8F-6A9B9622A7F9
314,0,314,SUI/SUI,Florian Schmid,Ennia BIEDERMANN,20107,34080,1620,2,https://bwf.tournamentsoftware.com/player-profile/42ED93D0-1532-47C4-80DC-5F3469B27C95,https://bwf.tournamentsoftware.com/player-profile/1FFE4B01-11BD-4878-87EE-7957D9119C39
316,0,316,MAS/MAS,Wee Tat TAN,LAI Shevon Jemie,36107,56352,1600,2,https://bwf.tournamentsoftware.com/player-profile/D823C05F-3DF9-4647-A8ED-EDBE878828D8,https://bwf.tournamentsoftware.com/player-profile/C2772AD0-D574-4CA7-B265-CDB2629143AA
317,0,317,SEY/SEY,Steve MALCOUZANE,Catherina PAULIN,13083,13870,1582,3,https://bwf.tournamentsoftware.com/player-profile/6B11A502-7086-484A-8389-83325CB863C2,https://bwf.tournamentsoftware.com/player-profile/453CBE72-384B-447F-B788-4FA6296820AC
318,0,318,NGR/NGR,Enejoh ABAH,Grace GABRIEL,44496,80210,1580,2,https://bwf.tournamentsoftware.com/player-profile/DEFBB04B-8780-47D5-8FCD-AC6436995C09,https://bwf.tournamentsoftware.com/player-profile/F4FF1AEF-4A3F-43DE-81F0-16F2D4284202
319,0,319,AUS/AUS,Glenn WARFE,Eugenia TANAKA,13922,55058,1522,2,https://bwf.tournamentsoftware.com/player-profile/058F0E1B-4983-4B96-9916-51A5E3D590B8,https://bwf.tournamentsoftware.com/player-profile/317BD3AD-3E8A-4106-BD7B-547618F7CC0B
320,0,320,AUS/AUS,Rowan HENDERSON,Alison GREENHILL,13936,13888,1520,2,https://bwf.tournamentsoftware.com/player-profile/AFC827EB-BEB0-4239-B826-B9526F212423,https://bwf.tournamentsoftware.com/player-profile/3B4B7E7C-1EE0-4BF0-91EF-B19384426019
320,0,320,AUS/AUS,Tran PHUOC,Vera BABENKO,57701,34950,1520,2,https://bwf.tournamentsoftware.com/player-profile/C6BA3251-919B-46FB-80AF-3564675864A6,https://bwf.tournamentsoftware.com/player-profile/0CAE9145-CD20-4CCC-B20C-0290B20381CB
322,0,322,CRO/CRO,Zvonimir HOELBLING,Stasa POZNANOVIC,29793,52942,1470,2,https://bwf.tournamentsoftware.com/player-profile/23E9C4E7-18DA-4F48-A0CF-6B3C9EF6F41F,https://bwf.tournamentsoftware.com/player-profile/3D3F5AEB-4469-4DC7-9FA0-33685065887E
322,0,322,UGA/UGA,Wilson TUKIRE,Margaret NANKABIRWA,79272,73464,1470,2,https://bwf.tournamentsoftware.com/player-profile/B1C80543-B070-474D-9096-B3CAE5C97CAE,https://bwf.tournamentsoftware.com/player-profile/90381BFF-BF20-4735-A777-A54C2DF1A058
322,0,322,DEN/DEN,Christian NIELSEN,Laerke T. SOERENSEN,46869,81519,1470,2,https://bwf.tournamentsoftware.com/player-profile/AC49EF66-4CC4-4EE1-B9F8-41705F21F2DC,https://bwf.tournamentsoftware.com/player-profile/59B6F6BE-50A6-4C44-872C-E2485BB822CD
322,0,322,RUS/RUS,Vladimir MALKOV,Tatjana BIBIK,51682,51261,1470,2,https://bwf.tournamentsoftware.com/player-profile/4B101ABC-CF0C-46B3-8469-E354592F74DA,https://bwf.tournamentsoftware.com/player-profile/2514A6DE-D8AB-4B65-9340-C2389C19C1CC
322,0,322,IRL/IRL,Matthew GLEAVE,Sinead CHAMBERS,51984,47135,1470,2,https://bwf.tournamentsoftware.com/player-profile/A4BEEF1A-D3BE-4F79-A402-FC271EC90EBF,https://bwf.tournamentsoftware.com/player-profile/1ACFD18E-C9C0-45C7-A0CF-A24EE4FAFEE5
322,0,322,EGY/EGY,Ahmed SALAH,Dina NAGY,55949,82371,1470,2,https://bwf.tournamentsoftware.com/player-profile/95DABE27-9C1D-4AF7-B92D-BB64B43BD310,https://bwf.tournamentsoftware.com/player-profile/9BF4049F-711D-4F28-BFF6-2F187C790EFC
322,0,322,UGA/UGA,Brian SSUNNA,Bridget Shamim BANGI,66616,83532,1470,2,https://bwf.tournamentsoftware.com/player-profile/4DE97E8B-2E76-4045-91DF-D9B7DD85FD63,https://bwf.tournamentsoftware.com/player-profile/DC4AF423-68D6-4273-88BA-79978CC94C46
322,0,322,GHA/GHA,Michael SAM,Theresa TETTEH,51969,15793,1470,2,https://bwf.tournamentsoftware.com/player-profile/AADEBE6C-E39F-4959-9165-B7F2414AF0CF,https://bwf.tournamentsoftware.com/player-profile/6BBD7DC4-6C88-4399-85A6-F346E65C5440
322,0,322,SEY/SEY,Richie COURSE,Cynthia COURSE,69622,42674,1470,2,https://bwf.tournamentsoftware.com/player-profile/2FDF7247-C252-4D9B-8D22-2A3BA9A44F07,https://bwf.tournamentsoftware.com/player-profile/2238AB28-69B3-4889-9410-10D60FDBAACA
322,0,322,GHA/GHA,ARYEE DANIEL,Stella Koteikai AMASAH,58181,69869,1470,2,https://bwf.tournamentsoftware.com/player-profile/2432E870-1FE4-4F21-B670-41CE836CBEC0,https://bwf.tournamentsoftware.com/player-profile/AAF5E78B-EE82-4398-9DD7-3EF8C617D001
332,0,332,CHI/CHI,Andres TRIGO,Pamela MACAYA,89022,48398,1380,3,https://bwf.tournamentsoftware.com/player-profile/DE3847F2-AFEF-457E-90E5-0B4BDE40FB9C,https://bwf.tournamentsoftware.com/player-profile/88B63BF9-3B9F-4ADF-A03C-D276CE5DA474
333,0,333,MRI/MRI,Sahir Abdool EDOO,Shama ABOOBAKAR,51549,10616,1372,2,https://bwf.tournamentsoftware.com/player-profile/F36175EE-89CD-42B2-B4BF-288D17EA498A,https://bwf.tournamentsoftware.com/player-profile/E7BEFF31-83B4-4DE6-931E-DB5C9CA22F17
333,0,333,POR/POR,Hugo RODRIGUES,Telma SANTOS,2540,13006,1372,2,https://bwf.tournamentsoftware.com/player-profile/BE49BDD3-E72E-4D4F-9027-36CD6CE48DB7,https://bwf.tournamentsoftware.com/player-profile/297B60D5-D066-4411-A36E-200E830F985D
335,0,335,MAS/MAS,HEG Nelson Wei Keat,Maggie Pei Chi LIM,55992,86100,1350,2,https://bwf.tournamentsoftware.com/player-profile/F0C7EEE1-5C9C-44DF-A1E5-83E9F45D63F5,https://bwf.tournamentsoftware.com/player-profile/400D1FA1-B8A0-45A1-9BD9-002EF7626C41
336,0,336,GER/GER,Max SCHWENGER,Isabel HERTTRICH,50324,98052,1340,2,https://bwf.tournamentsoftware.com/player-profile/85CCCF24-5D3D-422C-8EB2-D4CEE85035C0,https://bwf.tournamentsoftware.com/player-profile/8A29A574-5AC1-4BF1-A0F0-AD90FD97921D
337,0,337,NED/NED,Koen RIDDER,YAO Jie,51602,5564,1310,2,https://bwf.tournamentsoftware.com/player-profile/E0927C64-4DEB-4672-A762-B2C04992B910,https://bwf.tournamentsoftware.com/player-profile/15EC2421-543A-4E50-B70C-04C4955053AE
338,0,338,BAR/BAR,Kevin WOOD,Sabrina SCOTT,13287,54547,1172,2,https://bwf.tournamentsoftware.com/player-profile/760E2C08-05AF-4590-831B-2B8916FE4FFB,https://bwf.tournamentsoftware.com/player-profile/90878F3C-97DA-4748-9E17-E5D3DC3E2945
338,0,338,MEX/MEX,GARRIDO Marcos,Deyanire ANGULO,55129,55132,1172,2,https://bwf.tournamentsoftware.com/player-profile/D7382E60-CBE2-433F-AB39-8266AE18847E,https://bwf.tournamentsoftware.com/player-profile/2E4E8C2A-101A-427C-BB44-D8B51E1FC68A
338,0,338,FIJ/FIJ,Burty James MOLIA,Andra WHITESIDE,11587,13993,1172,2,https://bwf.tournamentsoftware.com/player-profile/05438D45-4320-41AA-BF6D-1E44E89C65D7,https://bwf.tournamentsoftware.com/player-profile/1C0F1899-3DEB-4377-83C2-375768CC0D37
341,0,341,NCL/NCL,Florian FERRER,Natacha OFFLAVILLE,39281,71688,1170,2,https://bwf.tournamentsoftware.com/player-profile/BAF71D7B-6C59-4045-B1CD-EA4233710F8A,https://bwf.tournamentsoftware.com/player-profile/B0DDC361-B6FD-4E54-B5A4-127A0772CB77
342,0,342,SEY/SEY,Kervin GHISLAIN,Allisen CAMILLE,62026,35438,1130,2,https://bwf.tournamentsoftware.com/player-profile/39F75E10-0658-4B10-A1B3-C9BF09ABF6FC,https://bwf.tournamentsoftware.com/player-profile/CDA6508A-0E63-469B-8516-D065855FF27A
342,0,342,MRI/MRI,Saheer RAMRAKHA,Marlyse MARQUER,14942,14965,1130,2,https://bwf.tournamentsoftware.com/player-profile/62F3D4DF-A9C2-4CED-B97F-785FEA5726B6,https://bwf.tournamentsoftware.com/player-profile/1DAC365A-0BE2-47D5-BB1E-835FB1BAD866
