rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,CHN / CHN,"ZHENG Si Wei, CHEN Qing Chen",0,117 - 21,"$666,348.74","81,777 / 9","https://bwfbadminton.com/player/83046/zheng-si-wei,https://bwfbadminton.com/player/94125/chen-qing-chen","83046, 94125"
2,INA / INA,"Tontowi AHMAD, Liliyana NATSIR",0,281 - 77,"$1,097,822.49","73,590 / 10","https://bwfbadminton.com/player/54267/tontowi-ahmad,https://bwfbadminton.com/player/14727/liliyana-natsir","54267, 14727"
3,CHN / CHN,"WANG Yi Lyu, HUANG Dong Ping",+1,43 - 16,"$167,223.13","70,300 / 13","https://bwfbadminton.com/player/99452/wang-yi-lyu,https://bwfbadminton.com/player/89426/huang-dong-ping","99452, 89426"
4,HKG / HKG,"TANG Chun Man, TSE Ying Suet",+1,49 - 23,"$203,298.00","67,958 / 18","https://bwfbadminton.com/player/77689/tang-chun-man,https://bwfbadminton.com/player/61435/tse-ying-suet","77689, 61435"
5,CHN / CHN,"LU Kai, HUANG Ya Qiong",-2,135 - 51,"$451,181.21","61,955 / 9","https://bwfbadminton.com/player/28549/lu-kai,https://bwfbadminton.com/player/63168/huang-ya-qiong","28549, 63168"
6,INA / INA,"Praveen JORDAN, Debby SUSANTO",0,124 - 67,"$379,993.10","59,175 / 13","https://bwfbadminton.com/player/89916/praveen-jordan,https://bwfbadminton.com/player/4425/debby-susanto","89916, 4425"
7,KOR / KOR,"SEO Seungjae, KIM Ha Na",0,35 - 11,"$310,873.75","58,020 / 14","https://bwfbadminton.com/player/66513/seo-seungjae,https://bwfbadminton.com/player/73982/kim-ha-na","66513, 73982"
8,MAS / MAS,"GOH Soon Huat, LAI Shevon Jemie",+2,49 - 18,"$53,937.55","55,340 / 15","https://bwfbadminton.com/player/92593/goh-soon-huat,https://bwfbadminton.com/player/56352/lai-shevon-jemie","92593, 56352"
9,MAS / MAS,"TAN Kian Meng, LAI Pei Jing",0,74 - 39,"$101,722.09","51,730 / 19","https://bwfbadminton.com/player/67654/tan-kian-meng,https://bwfbadminton.com/player/47007/lai-pei-jing","67654, 47007"
10,ENG / ENG,"Chris ADCOCK, Gabrielle ADCOCK",-2,201 - 124,"$403,656.01","49,660 / 11","https://bwfbadminton.com/player/70333/chris-adcock,https://bwfbadminton.com/player/62844/gabrielle-adcock","70333, 62844"
11,HKG / HKG,"LEE Chun Hei Reginald, CHAU Hoi Wah",0,125 - 89,"$201,229.58","48,402 / 15","https://bwfbadminton.com/player/92609/lee-chun-hei-reginald,https://bwfbadminton.com/player/55285/chau-hoi-wah","92609, 55285"
12,KOR / KOR,"CHOI SolGyu, CHAE YuJung",0,74 - 39,"$108,745.00","47,756 / 14","https://bwfbadminton.com/player/67810/choi-solgyu,https://bwfbadminton.com/player/93074/chae-yujung","67810, 93074"
13,THA / THA,"Dechapol PUAVARANUKROH, Sapsiree TAERATTANACHAI",+1,65 - 29,"$70,194.37","44,569 / 8","https://bwfbadminton.com/player/61731/dechapol-puavaranukroh,https://bwfbadminton.com/player/67158/sapsiree-taerattanachai","61731, 67158"
14,CHN / CHN,"ZHENG Si Wei, HUANG Ya Qiong",-1,23 - 1,"$625,530.60","44,200 / 5","https://bwfbadminton.com/player/83046/zheng-si-wei,https://bwfbadminton.com/player/63168/huang-ya-qiong","83046, 63168"
15,CHN / CHN,"HE Ji Ting, DU Yue",+7,36 - 14,"$37,313.14","43,410 / 9","https://bwfbadminton.com/player/59673/he-ji-ting,https://bwfbadminton.com/player/65984/du-yue","59673, 65984"
16,DEN / DEN,"Mathias CHRISTIANSEN, Christinna PEDERSEN",-1,18 - 6,"$514,858.99","42,630 / 7","https://bwfbadminton.com/player/99521/mathias-christiansen,https://bwfbadminton.com/player/53759/christinna-pedersen","99521, 53759"
17,JPN / JPN,"Kenta KAZUNO, Ayane KURIHARA",-1,56 - 52,"$74,514.36","40,919 / 12","https://bwfbadminton.com/player/53161/kenta-kazuno,https://bwfbadminton.com/player/89285/ayane-kurihara","53161, 89285"
18,TPE / TPE,"WANG Chi-Lin, LEE Chia Hsin",0,35 - 31,"$28,415.59","40,646 / 16","https://bwfbadminton.com/player/96514/wang-chi-lin,https://bwfbadminton.com/player/76717/lee-chia-hsin","96514, 76717"
19,GER / GER,"Mark LAMSFUSS, Isabel HERTTRICH",0,52 - 37,"$39,765.23","38,941 / 15","https://bwfbadminton.com/player/68045/mark-lamsfuss,https://bwfbadminton.com/player/98052/isabel-herttrich","68045, 98052"
20,MAS / MAS,"CHAN Peng Soon, CHEAH Yee See",+1,18 - 11,"$181,428.25","38,690 / 12","https://bwfbadminton.com/player/53142/chan-peng-soon,https://bwfbadminton.com/player/58879/cheah-yee-see","53142, 58879"
21,SGP / SGP,"HEE Yong Kai Terry, TAN Wei Han",+2,82 - 40,"$37,593.87","37,942 / 10","https://bwfbadminton.com/player/99181/hee-yong-kai-terry,https://bwfbadminton.com/player/59237/tan-wei-han","99181, 59237"
22,CHN / CHN,"ZHANG Nan, LI Yin Hui",-5,41 - 10,"$658,625.00","37,130 / 7","https://bwfbadminton.com/player/35357/zhang-nan,https://bwfbadminton.com/player/82249/li-yin-hui","35357, 82249"
23,FRA / FRA,"Ronan LABAR, Audrey MITTELHEISSER",+1,40 - 27,"$27,752.67","36,230 / 16","https://bwfbadminton.com/player/22038/ronan-labar,https://bwfbadminton.com/player/68480/audrey-mittelheisser","22038, 68480"
24,NED / NED,"Jacco ARENDS, Selena PIEK",+4,125 - 87,"$60,823.73","35,600 / 14","https://bwfbadminton.com/player/67175/jacco-arends,https://bwfbadminton.com/player/67176/selena-piek","67175, 67176"
25,IND / IND,"Pranaav Jerry CHOPRA, REDDY N. Sikki",+2,50 - 33,"$42,778.70","35,400 / 12","https://bwfbadminton.com/player/57839/pranaav-jerry-chopra,https://bwfbadminton.com/player/17515/reddy-n-sikki","57839, 17515"
26,GER / GER,"Marvin SEIDEL, Linda EFLER",-1,51 - 40,"$18,651.50","35,330 / 12","https://bwfbadminton.com/player/64909/marvin-seidel,https://bwfbadminton.com/player/83942/linda-efler","64909, 83942"
27,ENG / ENG,"Ben LANE, Jessica PUGH",-1,57 - 42,"$11,267.02","35,320 / 15","https://bwfbadminton.com/player/76278/ben-lane,https://bwfbadminton.com/player/77018/jessica-pugh","76278, 77018"
28,RUS / RUS,"Evgenij DREMIN, Evgenia DIMOVA",+8,98 - 66,"$37,532.97","33,760 / 13","https://bwfbadminton.com/player/11606/evgenij-dremin,https://bwfbadminton.com/player/53676/evgenia-dimova","11606, 53676"
29,ENG / ENG,"Marcus ELLIS, Lauren SMITH",+12,29 - 11,"$30,351.89","33,720 / 9","https://bwfbadminton.com/player/71349/marcus-ellis,https://bwfbadminton.com/player/80918/lauren-smith","71349, 80918"
30,DEN /  / DEN,"Joachim FISCHER NIELSEN, Christinna PEDERSEN",-10,292 - 95,"$874,507.73","33,382 / 7","https://bwfbadminton.com/player/10513/joachim-fischer-nielsen,https://bwfbadminton.com/player/53759/christinna-pedersen","10513, 53759"
31,TPE / TPE,"LEE Yang, HSU Ya Ching",+1,19 - 26,"$13,951.26","32,510 / 17","https://bwfbadminton.com/player/69448/lee-yang,https://bwfbadminton.com/player/74561/hsu-ya-ching","69448, 74561"
32,THA / THA,"Bodin ISARA, Savitree AMITRAPAI",-2,53 - 34,"$54,043.58","32,072 / 10","https://bwfbadminton.com/player/75983/bodin-isara,https://bwfbadminton.com/player/53582/savitree-amitrapai","75983, 53582"
33,IRL / IRL,"Sam MAGEE, Chloe MAGEE",-2,146 - 110,"$31,072.98","31,900 / 12","https://bwfbadminton.com/player/35374/sam-magee,https://bwfbadminton.com/player/89666/chloe-magee","35374, 89666"
34,AUS / AUS,"Sawan SERASINGHE, Setyana MAPASA",0,64 - 25,"$10,644.14","31,659 / 10","https://bwfbadminton.com/player/75157/sawan-serasinghe,https://bwfbadminton.com/player/77441/setyana-mapasa","75157, 77441"
35,TPE / TPE,"LIAO Min Chun, CHEN Hsiao Huan",0,71 - 82,"$33,599.96","31,580 / 9","https://bwfbadminton.com/player/53230/liao-min-chun,https://bwfbadminton.com/player/51518/chen-hsiao-huan","53230, 51518"
36,TPE / TPE,"TSENG Min Hao, HU Ling Fang",+1,21 - 16,"$13,716.97","31,090 / 13","https://bwfbadminton.com/player/71729/tseng-min-hao,https://bwfbadminton.com/player/87176/hu-ling-fang","71729, 87176"
37,DEN / DEN,"Mikkel MIKKELSEN, Mai SURROW",+1,56 - 17,"$15,330.74","30,720 / 12","https://bwfbadminton.com/player/76031/mikkel-mikkelsen,https://bwfbadminton.com/player/64816/mai-surrow","76031, 64816"
38,TPE / TPE,"LU Ching Yao, CHIANG Kai Hsin",+1,15 - 24,"$16,941.21","30,230 / 13","https://bwfbadminton.com/player/56746/lu-ching-yao,https://bwfbadminton.com/player/84929/chiang-kai-hsin","56746, 84929"
