rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,DEN,Viktor AXELSEN,0,274 - 107,"$474,377.00","79,580 / 14",https://bwfbadminton.com/player/25831/viktor-axelsen,25831
2,MAS,LEE Chong Wei,0,686 - 132,"$1,778,882.50","76,924 / 13",https://bwfbadminton.com/player/50152/lee-chong-wei,50152
3,CHN,CHEN Long,0,365 - 83,"$1,074,652.50","74,216 / 14",https://bwfbadminton.com/player/75787/chen-long,75787
4,KOR,SON Wanho,0,294 - 159,"$386,770.00","73,818 / 19",https://bwfbadminton.com/player/54346/son-wanho,54346
5,IND,KIDAMBI Srikanth,0,175 - 87,"$393,977.50","72,823 / 12",https://bwfbadminton.com/player/93627/kidambi-srikanth,93627
6,CHN,LIN Dan,0,617 - 93,"$905,755.00","71,066 / 15",https://bwfbadminton.com/player/50906/lin-dan,50906
7,CHN,SHI Yu Qi,+1,127 - 45,"$162,742.50","69,387 / 16",https://bwfbadminton.com/player/57945/shi-yu-qi,57945
8,TPE,CHOU Tien Chen,-1,267 - 159,"$271,518.50","67,171 / 21",https://bwfbadminton.com/player/34810/chou-tien-chen,34810
9,INA,Anthony Sinisuka GINTING,+1,116 - 60,"$108,580.00","54,118 / 17",https://bwfbadminton.com/player/95661/anthony-sinisuka-ginting,95661
10,IND,PRANNOY H. S.,+1,165 - 96,"$96,606.00","53,285 / 16",https://bwfbadminton.com/player/83950/prannoy-h-s,83950
11,HKG,NG Ka Long Angus,-2,202 - 108,"$141,353.50","52,919 / 19",https://bwfbadminton.com/player/45171/ng-ka-long-angus,45171
12,TPE,WANG Tzu Wei,0,185 - 101,"$71,491.00","52,030 / 18",https://bwfbadminton.com/player/87375/wang-tzu-wei,87375
13,INA,Jonatan CHRISTIE,+1,134 - 64,"$78,405.50","50,447 / 15",https://bwfbadminton.com/player/73442/jonatan-christie,73442
14,HKG,WONG Wing Ki Vincent,+1,203 - 173,"$136,777.50","49,092 / 18",https://bwfbadminton.com/player/55280/wong-wing-ki-vincent,55280
15,DEN,Anders ANTONSEN,-2,135 - 35,"$50,420.25","47,830 / 18",https://bwfbadminton.com/player/91554/anders-antonsen,91554
16,JPN,Kazumasa SAKAI,0,146 - 77,"$87,806.50","47,325 / 18",https://bwfbadminton.com/player/91280/kazumasa-sakai,91280
17,IND,SAI PRANEETH B.,+1,179 - 92,"$57,237.50","47,200 / 13",https://bwfbadminton.com/player/42776/sai-praneeth-b,42776
18,KOR,JEON Hyeok Jin,+1,152 - 54,"$74,035.00","44,966 / 15",https://bwfbadminton.com/player/65580/jeon-hyeok-jin,65580
19,DEN,Hans-Kristian Solberg VITTINGHUS,-2,304 - 172,"$198,649.10","44,840 / 18",https://bwfbadminton.com/player/53753/hans-kristian-solberg-vittinghus,53753
20,THA,Tanongsak SAENSOMBOONSUK,0,228 - 187,"$142,235.00","44,440 / 17",https://bwfbadminton.com/player/54513/tanongsak-saensomboonsuk,54513
21,JPN,Kenta NISHIMOTO,0,108 - 57,"$41,058.75","42,775 / 18",https://bwfbadminton.com/player/85394/kenta-nishimoto,85394
22,ENG,Rajiv OUSEPH,+1,341 - 199,"$103,232.80","40,420 / 12",https://bwfbadminton.com/player/51613/rajiv-ouseph,51613
23,CHN,TIAN Houwei,-1,139 - 80,"$234,875.00","39,770 / 12",https://bwfbadminton.com/player/12903/tian-houwei,12903
24,FRA,Brice LEVERDEZ,0,308 - 213,"$78,834.00","39,726 / 21",https://bwfbadminton.com/player/52968/brice-leverdez,52968
25,KOR,LEE Hyun Il,0,467 - 156,"$314,562.50","39,660 / 11",https://bwfbadminton.com/player/11704/lee-hyun-il,11704
26,CHN,QIAO Bin,+9,84 - 44,"$87,007.50","39,024 / 13",https://bwfbadminton.com/player/78828/qiao-bin,78828
27,TPE,HSU Jen Hao,-1,233 - 181,"$81,808.50","38,931 / 22",https://bwfbadminton.com/player/67100/hsu-jen-hao,67100
28,JPN,Kanta TSUNEYAMA,-1,87 - 41,"$18,300.75","37,820 / 14",https://bwfbadminton.com/player/57823/kanta-tsuneyama,57823
29,THA,Khosit PHETPRADAB,0,142 - 84,"$22,560.00","37,313 / 15",https://bwfbadminton.com/player/29449/khosit-phetpradab,29449
30,INA,Tommy SUGIARTO,-2,309 - 166,"$247,926.00","36,260 / 14",https://bwfbadminton.com/player/14587/tommy-sugiarto,14587
31,BRA,Ygor COELHO,0,142 - 60,"$10,834.50","35,610 / 17",https://bwfbadminton.com/player/96429/ygor-coelho,96429
32,HKG,HU Yun,+1,210 - 182,"$184,962.50","35,362 / 18",https://bwfbadminton.com/player/14869/hu-yun,14869
33,THA,Suppanyu AVIHINGSANON,+1,183 - 130,"$27,146.25","34,941 / 17",https://bwfbadminton.com/player/46874/suppanyu-avihingsanon,46874
34,CHN,HUANG Yu Xiang,-4,76 - 52,"$54,182.50","34,350 / 14",https://bwfbadminton.com/player/71261/huang-yu-xiang,71261
35,DEN,Rasmus GEMKE,+2,76 - 30,"$15,209.00","33,750 / 15",https://bwfbadminton.com/player/62855/rasmus-gemke,62855
36,NED,Mark CALJOUW,0,138 - 77,"$8,151.50","33,310 / 16",https://bwfbadminton.com/player/76973/mark-caljouw,76973
37,ESP,Pablo ABIAN,+1,374 - 172,"$45,192.00","33,087 / 17",https://bwfbadminton.com/player/14251/pablo-abian,14251
38,KOR,LEE Dong Keun,-6,152 - 110,"$59,440.00","32,460 / 10",https://bwfbadminton.com/player/64933/lee-dong-keun,64933
39,INA,Ihsan Maulana MUSTOFA,0,116 - 71,"$38,016.00","31,740 / 11",https://bwfbadminton.com/player/74154/ihsan-maulana-mustofa,74154
40,DEN,Emil HOLST,0,197 - 106,"$26,784.25","31,400 / 19",https://bwfbadminton.com/player/83122/emil-holst,83122
41,MAS,LIEW Daren,+5,187 - 139,"$61,705.25","31,400 / 12",https://bwfbadminton.com/player/52864/liew-daren,52864
42,IND,Sameer VERMA,-1,133 - 54,"$50,938.50","31,282 / 10",https://bwfbadminton.com/player/77003/sameer-verma,77003
43,HKG,LEE Cheuk Yiu,0,83 - 45,"$20,243.00","30,660 / 11",https://bwfbadminton.com/player/94780/lee-cheuk-yiu,94780
44,IND,PARUPALLI Kashyap,+8,259 - 184,"$116,822.50","30,580 / 14",https://bwfbadminton.com/player/53944/parupalli-kashyap,53944
45,IND,Ajay JAYARAM,-1,229 - 163,"$92,916.00","29,215 / 9",https://bwfbadminton.com/player/55351/ajay-jayaram,55351
46,MAS,CHONG Wei Feng,-1,238 - 156,"$70,616.00","29,030 / 13",https://bwfbadminton.com/player/52030/chong-wei-feng,52030
47,MAS,LEE Zii Jia,0,108 - 41,"$9,519.75","28,740 / 14",https://bwfbadminton.com/player/81561/lee-zii-jia,81561
48,VIE,Tien Minh NGUYEN,0,396 - 160,"$187,934.00","27,802 / 13",https://bwfbadminton.com/player/14107/tien-minh-nguyen,14107
49,JPN,Kento MOMOTA,0,189 - 64,"$276,064.00","27,680 / 6",https://bwfbadminton.com/player/89785/kento-momota,89785
50,HKG,WEI Nan,0,150 - 116,"$58,635.00","27,590 / 16",https://bwfbadminton.com/player/53054/wei-nan,53054
