rank,rank_change,prev_rank,country,player,member_id,points,tournaments,profile_link
1,0,1,MAS,LEE Chong Wei,50152,81867,13,https://bwf.tournamentsoftware.com/player-profile/2E62073C-AD95-40BE-8364-0A2EC054A4AC
2,0,2,CHN,LIN Dan,50906,70474,9,https://bwf.tournamentsoftware.com/player-profile/296B69A5-3C25-4E3D-964E-DDFA46A1333A
3,0,3,CHN,CHEN Jin,51592,70282,13,https://bwf.tournamentsoftware.com/player-profile/36060B60-5413-4DE7-A2D5-FDBAE446908E
4,0,4,DEN,Peter Hoeg GADE,6926,66995,15,https://bwf.tournamentsoftware.com/player-profile/D5745F12-D4EC-4638-B380-0E7EB18419F8
5,0,5,INA,Taufik HIDAYAT,10337,62292,15,https://bwf.tournamentsoftware.com/player-profile/08A4099B-DF05-4295-A672-0711C6B69C34
6,0,6,CHN,BAO Chunlai,51274,59094,12,https://bwf.tournamentsoftware.com/player-profile/F882194D-79B9-487B-9F97-CB9D5777324C
7,0,7,VIE,Tien Minh NGUYEN,14107,57345,15,https://bwf.tournamentsoftware.com/player-profile/26791000-C115-4F98-A3F7-EC3A12D28386
8,0,8,CHN,CHEN Long,75787,55573,15,https://bwf.tournamentsoftware.com/player-profile/8F42FC23-89C1-40CF-8F20-8519DE2BE4EF
9,0,9,THA,Boonsak PONSANA,11959,54950,12,https://bwf.tournamentsoftware.com/player-profile/0CA686F7-D694-4C53-A2E1-08950598A827
10,0,10,DEN,Jan O JORGENSEN,54431,53982,15,https://bwf.tournamentsoftware.com/player-profile/7D1E14D8-1B2E-48E1-B6A4-3973D713C3EF
11,0,11,INA,Simon SANTOSO,51599,52211,11,https://bwf.tournamentsoftware.com/player-profile/9C5D7BA0-3A42-4DCC-A7F6-1154489631B7
12,0,12,INA,Sony Dwi KUNCORO,50427,51332,11,https://bwf.tournamentsoftware.com/player-profile/5D5CBB33-58AF-4572-90B0-A081781698D4
13,0,13,KOR,PARK Sung Hwan,51324,48964,14,https://bwf.tournamentsoftware.com/player-profile/086C6D60-AB80-4273-89DB-D0B0DFF661E5
14,0,14,JPN,Kenichi TAGO,63707,47197,12,https://bwf.tournamentsoftware.com/player-profile/A351C07C-62BC-4300-875D-7DE62E771AAD
15,0,15,MAS,Choong Hann WONG,4240,45242,18,https://bwf.tournamentsoftware.com/player-profile/BF774378-F73E-4BDE-8038-2BCEF6CAD0D5
16,0,16,HKG,HU Yun,14869,43695,15,https://bwf.tournamentsoftware.com/player-profile/37B8D414-634F-4C3F-93AC-91C7399EF113
17,0,17,GER,Marc ZWIEBLER,50858,39932,18,https://bwf.tournamentsoftware.com/player-profile/39E76D72-B750-49D1-864B-18FE1B2B3367
18,0,18,CHN,DU Pengyu,55380,39860,10,https://bwf.tournamentsoftware.com/player-profile/C07A72AE-0687-40A1-86D2-5613BBB1462F
19,0,19,IND,Chetan ANAND,11691,39760,16,https://bwf.tournamentsoftware.com/player-profile/B093D2D8-8706-4022-8AEE-4749549BE54E
20,0,20,HKG,CHAN Yan Kit,51306,38571,18,https://bwf.tournamentsoftware.com/player-profile/E0BC1E13-F583-4188-A186-3B542310627A
21,0,21,MAS,Muhammad Hafiz HASHIM,12370,38430,12,https://bwf.tournamentsoftware.com/player-profile/D5A36BB6-EDE4-4A73-95EB-EC93BC35A0F7
22,0,22,ENG,Rajiv OUSEPH,51613,37705,17,https://bwf.tournamentsoftware.com/player-profile/331723FE-F589-433C-86C8-687467F176B0
23,0,23,TPE,HSIEH Yu Hsing,15751,36221,14,https://bwf.tournamentsoftware.com/player-profile/44622196-E662-4813-86B9-F239578B20F3
