rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,KOR,SON Wanho,0,274 - 148,"$325,117.50","74,768 / 18",https://bwfbadminton.com/player/54346/son-wanho,54346
2,DEN,Viktor AXELSEN,0,253 - 103,"$311,602.00","72,040 / 14",https://bwfbadminton.com/player/25831/viktor-axelsen,25831
3,CHN,SHI Yu Qi,0,109 - 39,"$101,210.00","67,887 / 17",https://bwfbadminton.com/player/57945/shi-yu-qi,57945
4,CHN,LIN Dan,0,613 - 88,"$901,055.00","66,366 / 10",https://bwfbadminton.com/player/50906/lin-dan,50906
5,TPE,CHOU Tien Chen,0,253 - 148,"$231,668.50","64,681 / 19",https://bwfbadminton.com/player/34810/chou-tien-chen,34810
6,CHN,CHEN Long,0,353 - 78,"$1,003,890.00","64,046 / 9",https://bwfbadminton.com/player/75787/chen-long,75787
7,MAS,LEE Chong Wei,0,672 - 125,"$1,689,707.50","62,704 / 9",https://bwfbadminton.com/player/50152/lee-chong-wei,50152
8,IND,KIDAMBI Srikanth,0,162 - 82,"$317,477.50","58,583 / 11",https://bwfbadminton.com/player/93627/kidambi-srikanth,93627
9,HKG,NG Ka Long Angus,0,192 - 99,"$113,528.50","58,129 / 19",https://bwfbadminton.com/player/45171/ng-ka-long-angus,45171
10,CHN,TIAN Houwei,0,139 - 76,"$234,875.00","56,650 / 16",https://bwfbadminton.com/player/12903/tian-houwei,12903
11,DEN,Jan O JORGENSEN,0,381 - 192,"$467,684.50","55,080 / 10",https://bwfbadminton.com/player/54431/jan-o-jorgensen,54431
12,TPE,WANG Tzu Wei,0,173 - 93,"$56,073.50","52,160 / 21",https://bwfbadminton.com/player/87375/wang-tzu-wei,87375
13,THA,Tanongsak SAENSOMBOONSUK,0,224 - 179,"$138,735.00","51,750 / 16",https://bwfbadminton.com/player/54513/tanongsak-saensomboonsuk,54513
14,HKG,WONG Wing Ki Vincent,0,194 - 164,"$122,295.00","51,292 / 17",https://bwfbadminton.com/player/55280/wong-wing-ki-vincent,55280
15,DEN,Anders ANTONSEN,0,125 - 26,"$31,157.75","48,590 / 18",https://bwfbadminton.com/player/91554/anders-antonsen,91554
16,IND,Ajay JAYARAM,0,229 - 162,"$94,656.00","48,465 / 17",https://bwfbadminton.com/player/55351/ajay-jayaram,55351
17,IND,SAI PRANEETH B.,0,174 - 85,"$77,345.00","48,420 / 16",https://bwfbadminton.com/player/42776/sai-praneeth-b,42776
18,IND,PRANNOY H. S.,0,156 - 89,"$82,013.50","47,295 / 19",https://bwfbadminton.com/player/83950/prannoy-h-s,83950
19,KOR,LEE Hyun Il,0,458 - 149,"$292,185.00","47,280 / 11",https://bwfbadminton.com/player/11704/lee-hyun-il,11704
20,GER,Marc ZWIEBLER,0,374 - 203,"$169,872.00","44,375 / 19",https://bwfbadminton.com/player/50858/marc-zwiebler,50858
21,CHN,QIAO Bin,0,77 - 37,"$78,430.00","43,474 / 12",https://bwfbadminton.com/player/78828/qiao-bin,78828
22,INA,Jonatan CHRISTIE,0,126 - 56,"$49,760.50","43,377 / 12",https://bwfbadminton.com/player/73442/jonatan-christie,73442
23,ENG,Rajiv OUSEPH,0,337 - 194,"$97,962.80","42,610 / 11",https://bwfbadminton.com/player/51613/rajiv-ouseph,51613
24,INA,Anthony Sinisuka GINTING,0,102 - 54,"$39,685.00","41,758 / 16",https://bwfbadminton.com/player/95661/anthony-sinisuka-ginting,95661
