rank,rank_change,prev_rank,country,player,member_id,points,tournaments,profile_link
1,0,1,JPN,Kento MOMOTA,89785,109118,15,https://bwf.tournamentsoftware.com/player-profile/39EC811A-3BDF-4E29-93E9-CD1F0BD65990
2,0,2,DEN,Viktor AXELSEN,25831,98486,23,https://bwf.tournamentsoftware.com/player-profile/3BF0C3EA-7BFB-4CC9-A955-3712D850CFA4
3,0,3,DEN,Anders ANTONSEN,91554,94875,24,https://bwf.tournamentsoftware.com/player-profile/473960FD-334B-476F-9821-8ED9398BC1A8
4,0,4,TPE,CHOU Tien Chen,34810,89828,25,https://bwf.tournamentsoftware.com/player-profile/41A01287-FA86-45C1-B980-860FC1C2DEB4
5,0,5,INA,Anthony Sinisuka GINTING,95661,82182,23,https://bwf.tournamentsoftware.com/player-profile/116CDE79-DCC5-42CD-9EC7-1157B92902EF
6,0,6,CHN,CHEN Long,75787,78440,17,https://bwf.tournamentsoftware.com/player-profile/8F42FC23-89C1-40CF-8F20-8519DE2BE4EF
7,0,7,INA,Jonatan CHRISTIE,73442,74770,23,https://bwf.tournamentsoftware.com/player-profile/6A537DB2-42E4-4604-81DF-6D1ECF387DCE
8,0,8,MAS,LEE Zii Jia,81561,69389,25,https://bwf.tournamentsoftware.com/player-profile/21E9EAF0-5C86-416F-A942-C3ECA088ACDC
9,0,9,HKG,NG Ka Long Angus,45171,69270,24,https://bwf.tournamentsoftware.com/player-profile/B701FB3D-0671-4249-8AAA-758FE92E72C5
10,0,10,TPE,WANG Tzu Wei,87375,63393,32,https://bwf.tournamentsoftware.com/player-profile/96F8277F-D90F-4841-BEC9-C6A025C8DA96
11,0,11,CHN,SHI Yu Qi,57945,62061,13,https://bwf.tournamentsoftware.com/player-profile/38CBD70E-A643-4170-9E6A-28863412DC7B
12,0,12,DEN,Rasmus GEMKE,62855,61070,26,https://bwf.tournamentsoftware.com/player-profile/06E59783-2CDF-4BB5-92F0-7442B76E0481
13,0,13,JPN,Kanta TSUNEYAMA,57823,58405,23,https://bwf.tournamentsoftware.com/player-profile/49510451-E273-46C9-B098-A26F9DF2CBB0
14,0,14,IND,KIDAMBI Srikanth,93627,56499,26,https://bwf.tournamentsoftware.com/player-profile/A9509AF9-8009-48A4-A4E2-486F125004C5
15,0,15,IND,SAI PRANEETH B.,42776,56467,22,https://bwf.tournamentsoftware.com/player-profile/1ECFF64F-4692-47BA-A619-BDF6E0ED9C4A
16,0,16,JPN,Kenta NISHIMOTO,85394,54233,24,https://bwf.tournamentsoftware.com/player-profile/F652F6F8-48D5-4B3A-9A00-5E456A29B7C6
17,0,17,HKG,LEE Cheuk Yiu,94780,53961,23,https://bwf.tournamentsoftware.com/player-profile/185EAD78-1D70-4CF1-99DE-EB9645BFA78D
18,0,18,THA,Kantaphon WANGCHAROEN,92508,53571,28,https://bwf.tournamentsoftware.com/player-profile/21A8C5FA-2F36-467A-8399-6C2CCFC11E18
19,0,19,INA,Shesar Hiren RHUSTAVITO,81887,50630,24,https://bwf.tournamentsoftware.com/player-profile/1D99852C-5737-4201-A370-83BB6CE7A2ED
20,0,20,DEN,Hans-Kristian Solberg VITTINGHUS,53753,50108,23,https://bwf.tournamentsoftware.com/player-profile/4C55FDF0-BC29-4F2E-BD6D-36D7BE4BA4E2
21,0,21,CHN,LIN Dan,50906,47670,20,https://bwf.tournamentsoftware.com/player-profile/296B69A5-3C25-4E3D-964E-DDFA46A1333A
22,0,22,DEN,Jan O JORGENSEN,54431,47664,17,https://bwf.tournamentsoftware.com/player-profile/7D1E14D8-1B2E-48E1-B6A4-3973D713C3EF
23,0,23,IND,Lakshya SEN,68870,46597,23,https://bwf.tournamentsoftware.com/player-profile/308281C5-9A0C-4016-B8BD-672AB2D833A7
24,0,24,THA,Kunlavut VITIDSARN,64032,46348,22,https://bwf.tournamentsoftware.com/player-profile/66BFCA58-F3D2-40A2-9454-F1E0470675CF
25,0,25,THA,Sitthikom THAMMASIN,58963,46257,23,https://bwf.tournamentsoftware.com/player-profile/E117B39B-809E-4008-98E5-60E612C0A410
26,0,26,CHN,LU Guang Zu,77427,45869,19,https://bwf.tournamentsoftware.com/player-profile/8DB65BF4-2593-4835-8ADF-36F6656B4217
27,0,27,IND,Sameer VERMA,77003,45319,25,https://bwf.tournamentsoftware.com/player-profile/AA9D1A0B-2529-4B20-8421-7F31183EFA29
28,0,28,CHN,HUANG Yu Xiang,71261,45000,17,https://bwf.tournamentsoftware.com/player-profile/08924E50-C41F-4E27-95DB-6B7F9086A0CF
29,0,29,NED,Mark CALJOUW,76973,44619,28,https://bwf.tournamentsoftware.com/player-profile/EFBE7D9C-9DFA-462B-8E08-311DB08F7A88
30,0,30,IND,PRANNOY H. S.,83950,43535,26,https://bwf.tournamentsoftware.com/player-profile/9906AA55-580B-465A-8782-2251A4912DB9
31,0,31,IND,PARUPALLI Kashyap,53944,43440,25,https://bwf.tournamentsoftware.com/player-profile/0DE63AAB-7715-46DC-8F3A-845734C2FA54
32,0,32,INA,Tommy SUGIARTO,14587,42400,18,https://bwf.tournamentsoftware.com/player-profile/755488DF-BE39-49C8-ABA0-38BF8ADDA058
33,10,43,FRA,Toma Junior POPOV,61628,40958,23,https://bwf.tournamentsoftware.com/player-profile/18243FD1-E275-4DE0-9839-4A745A1D4CEA
34,-1,33,MAS,LIEW Daren,52864,40250,22,https://bwf.tournamentsoftware.com/player-profile/76C0DB76-3230-4FA0-9036-99E71183E73C
35,-1,34,IND,Sourabh VERMA,25925,40169,21,https://bwf.tournamentsoftware.com/player-profile/E5384E08-D2A5-4913-A8C8-A04DE72085AB
36,-1,35,FRA,Brice LEVERDEZ,52968,39804,30,https://bwf.tournamentsoftware.com/player-profile/00BA89AE-88B8-4575-98CA-815506AC4E8E
37,-1,36,THA,Khosit PHETPRADAB,29449,39793,23,https://bwf.tournamentsoftware.com/player-profile/AC44DF59-4D39-47F7-8BBE-DE8837956AD7
38,-1,37,KOR,HEO Kwanghee,68718,38057,23,https://bwf.tournamentsoftware.com/player-profile/DB414FF3-02AD-43ED-9647-752E4DE690A2
39,-1,38,CHN,ZHAO Jun Peng,95930,37395,14,https://bwf.tournamentsoftware.com/player-profile/AC873DD7-89E0-4A52-8E12-1F5A0506E27A
40,-1,39,FRA,Thomas ROUXEL,38500,37137,25,https://bwf.tournamentsoftware.com/player-profile/80D0A7F9-5DE6-4ADA-A68F-CCFD3BFC2634
41,-1,40,JPN,Koki WATANABE,97174,37126,15,https://bwf.tournamentsoftware.com/player-profile/71F9CCD6-EC2B-460D-B143-A796AD3E3BC6
42,-1,41,SGP,LOH Kean Yew,76115,36684,17,https://bwf.tournamentsoftware.com/player-profile/64D7D22C-CE54-4C9A-8EC3-70D9C7CEED71
43,-1,42,THA,Tanongsak SAENSOMBOONSUK,54513,36460,17,https://bwf.tournamentsoftware.com/player-profile/07BB032D-0C06-461D-844B-F7018DCCF14F
44,0,44,CAN,Brian YANG,63122,35188,31,https://bwf.tournamentsoftware.com/player-profile/E2BF7725-CB3A-4E87-A038-5B757D6B7BAD
45,0,45,CAN,Jason Anthony HO-SHUE,93791,34990,30,https://bwf.tournamentsoftware.com/player-profile/FDC6DB98-868F-4CD6-9410-3C51D9B154C3
46,0,46,HKG,WONG Wing Ki Vincent,55280,34050,17,https://bwf.tournamentsoftware.com/player-profile/D27868EC-90CD-4D18-81E0-7C80BAD3CFAF
47,3,50,ISR,Misha ZILBERMAN,52953,33774,26,https://bwf.tournamentsoftware.com/player-profile/E538ADF6-1701-42A7-8BB2-A3AEBD094781
48,-1,47,CHN,SUN Fei Xiang,57762,33690,15,https://bwf.tournamentsoftware.com/player-profile/CB451DDC-55E2-4552-A943-0256BC97145A
49,5,54,BRA,Ygor COELHO,96429,33059,24,https://bwf.tournamentsoftware.com/player-profile/D5A6B9B2-89B9-4ABF-93B2-BEF5DCA6FBD7
50,-2,48,JPN,Kodai NARAOKA,62063,32787,13,https://bwf.tournamentsoftware.com/player-profile/7804BE61-F954-4C46-9E72-FED84BDA7FEB
