rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,CHN,CHEN Long,0,306 - 68,"$902,150.00","92,081 / 16",https://bwfbadminton.com/player/75787/chen-long,75787
2,MAS,LEE Chong Wei,0,626 - 118,"$1,471,957.50","89,183 / 16",https://bwfbadminton.com/player/50152/lee-chong-wei,50152
3,CHN,LIN Dan,0,572 - 78,"$808,485.00","75,327 / 19",https://bwfbadminton.com/player/50906/lin-dan,50906
4,DEN,Viktor AXELSEN,0,206 - 88,"$181,552.00","73,522 / 18",https://bwfbadminton.com/player/25831/viktor-axelsen,25831
5,DEN,Jan O JORGENSEN,0,350 - 176,"$326,309.50","72,172 / 17",https://bwfbadminton.com/player/54431/jan-o-jorgensen,54431
6,CHN,TIAN Houwei,0,105 - 57,"$132,937.50","64,432 / 18",https://bwfbadminton.com/player/12903/tian-houwei,12903
7,TPE,CHOU Tien Chen,0,202 - 125,"$139,508.50","63,185 / 22",https://bwfbadminton.com/player/34810/chou-tien-chen,34810
8,INA,Tommy SUGIARTO,0,279 - 145,"$214,973.50","59,894 / 22",https://bwfbadminton.com/player/14587/tommy-sugiarto,14587
9,KOR,SON Wanho,0,227 - 126,"$196,892.50","57,335 / 26",https://bwfbadminton.com/player/54346/son-wanho,54346
10,GER,Marc ZWIEBLER,+2,354 - 183,"$140,869.50","51,143 / 21",https://bwfbadminton.com/player/50858/marc-zwiebler,50858
11,HKG,NG Ka Long Angus,-1,153 - 75,"$34,771.00","50,464 / 24",https://bwfbadminton.com/player/45171/ng-ka-long-angus,45171
12,IND,KIDAMBI Srikanth,-1,129 - 69,"$150,955.00","50,254 / 24",https://bwfbadminton.com/player/93627/kidambi-srikanth,93627
13,DEN,Hans-Kristian Solberg VITTINGHUS,+2,263 - 145,"$112,744.10","48,830 / 16",https://bwfbadminton.com/player/53753/hans-kristian-solberg-vittinghus,53753
14,HKG,HU Yun,0,187 - 146,"$144,830.00","48,619 / 23",https://bwfbadminton.com/player/14869/hu-yun,14869
15,ENG,Rajiv OUSEPH,+1,312 - 181,"$70,662.80","48,321 / 18",https://bwfbadminton.com/player/51613/rajiv-ouseph,51613
16,KOR,LEE Dong Keun,+2,124 - 88,"$48,410.00","46,498 / 27",https://bwfbadminton.com/player/64933/lee-dong-keun,64933
17,HKG,WEI Nan,0,129 - 85,"$43,725.00","45,432 / 20",https://bwfbadminton.com/player/53054/wei-nan,53054
18,CHN,WANG Zhengming,-5,158 - 87,"$180,985.00","45,034 / 18",https://bwfbadminton.com/player/23736/wang-zhengming,23736
19,INA,Jonatan CHRISTIE,+2,97 - 40,"$15,535.50","41,416 / 20",https://bwfbadminton.com/player/73442/jonatan-christie,73442
20,THA,Boonsak PONSANA,+2,372 - 240,"$221,027.50","40,944 / 27",https://bwfbadminton.com/player/11959/boonsak-ponsana,11959
21,IND,Ajay JAYARAM,-1,199 - 139,"$71,288.50","40,673 / 21",https://bwfbadminton.com/player/55351/ajay-jayaram,55351
22,HKG,WONG Wing Ki Vincent,+4,166 - 143,"$82,925.00","39,996 / 23",https://bwfbadminton.com/player/55280/wong-wing-ki-vincent,55280
23,INA,Anthony Sinisuka GINTING,0,72 - 35,"$14,420.00","39,640 / 19",https://bwfbadminton.com/player/95661/anthony-sinisuka-ginting,95661
24,TPE,HSU Jen Hao,+1,195 - 139,"$60,061.00","39,215 / 29",https://bwfbadminton.com/player/67100/hsu-jen-hao,67100
25,IND,PRANNOY H. S.,+2,120 - 69,"$43,856.00","38,911 / 17",https://bwfbadminton.com/player/83950/prannoy-h-s,83950
26,THA,Tanongsak SAENSOMBOONSUK,+2,187 - 156,"$60,275.00","38,794 / 24",https://bwfbadminton.com/player/54513/tanongsak-saensomboonsuk,54513
27,JPN,Sho SASAKI,-8,323 - 213,"$128,450.00","38,586 / 25",https://bwfbadminton.com/player/50905/sho-sasaki,50905
28,KOR,JEON Hyeok Jin,+1,115 - 31,"$21,355.00","38,405 / 15",https://bwfbadminton.com/player/65580/jeon-hyeok-jin,65580
29,IND,PARUPALLI Kashyap,-5,227 - 163,"$104,415.00","38,121 / 10",https://bwfbadminton.com/player/53944/parupalli-kashyap,53944
30,KOR,LEE Hyun Il,0,425 - 137,"$233,417.50","38,050 / 7",https://bwfbadminton.com/player/11704/lee-hyun-il,11704
31,INA,Ihsan Maulana MUSTOFA,0,86 - 48,"$14,391.00","37,646 / 18",https://bwfbadminton.com/player/74154/ihsan-maulana-mustofa,74154
32,VIE,Tien Minh NGUYEN,+1,350 - 143,"$176,645.50","36,670 / 18",https://bwfbadminton.com/player/14107/tien-minh-nguyen,14107
33,CHN,XUE Song,-1,92 - 34,"$48,607.50","36,530 / 12",https://bwfbadminton.com/player/78769/xue-song,78769
34,IND,SAI PRANEETH B.,0,138 - 69,"$24,112.50","35,760 / 17",https://bwfbadminton.com/player/42776/sai-praneeth-b,42776
35,ESP,Pablo ABIAN,+2,314 - 148,"$31,909.00","35,667 / 24",https://bwfbadminton.com/player/14251/pablo-abian,14251
36,MAS,Iskandar ZULKARNAIN,-1,130 - 69,"$16,448.50","35,541 / 16",https://bwfbadminton.com/player/31871/iskandar-zulkarnain,31871
37,INA,Sony Dwi KUNCORO,-1,305 - 138,"$224,662.50","34,940 / 12",https://bwfbadminton.com/player/50427/sony-dwi-kuncoro,50427
38,IND,Sameer VERMA,0,104 - 37,"$12,516.00","34,020 / 16",https://bwfbadminton.com/player/77003/sameer-verma,77003
39,MAS,Zulfadli ZULKIFFLI,+1,156 - 103,"$12,682.50","33,946 / 23",https://bwfbadminton.com/player/89511/zulfadli-zulkiffli,89511
40,FRA,Brice LEVERDEZ,+3,261 - 179,"$53,677.75","33,559 / 20",https://bwfbadminton.com/player/52968/brice-leverdez,52968
41,TPE,WANG Tzu Wei,+7,120 - 67,"$17,271.00","32,361 / 20",https://bwfbadminton.com/player/87375/wang-tzu-wei,87375
42,EST,Raul MUST,-1,277 - 169,"$16,122.50","32,193 / 19",https://bwfbadminton.com/player/51531/raul-must,51531
43,JPN,Kenta NISHIMOTO,-1,60 - 33,"$7,210.00","32,003 / 16",https://bwfbadminton.com/player/85394/kenta-nishimoto,85394
44,JPN,Takuma UEDA,0,135 - 107,"$53,932.50","31,746 / 21",https://bwfbadminton.com/player/47181/takuma-ueda,47181
45,CHN,SHI Yu Qi,0,59 - 23,"$7,200.00","30,345 / 11",https://bwfbadminton.com/player/57945/shi-yu-qi,57945
46,INA,Dionysius Hayom RUMBAKA,-7,183 - 112,"$98,745.00","30,020 / 9",https://bwfbadminton.com/player/66990/dionysius-hayom-rumbaka,66990
47,DEN,Emil HOLST,-1,159 - 75,"$15,527.75","29,360 / 17",https://bwfbadminton.com/player/83122/emil-holst,83122
48,GUA,Kevin CORDON,-1,279 - 84,"$18,848.00","29,111 / 14",https://bwfbadminton.com/player/54897/kevin-cordon,54897
49,SWE,Henri HURSKAINEN,+3,235 - 156,"$23,712.00","28,690 / 19",https://bwfbadminton.com/player/52325/henri-hurskainen,52325
50,MAS,SOO Teck Zhi,0,98 - 60,"$4,837.50","27,844 / 14",https://bwfbadminton.com/player/76106/soo-teck-zhi,76106
51,BEL,Yuhan TAN,+8,226 - 174,"$15,369.50","27,728 / 24",https://bwfbadminton.com/player/51690/yuhan-tan,51690
52,RUS,Vladimir MALKOV,-1,223 - 156,"$21,202.00","27,718 / 23",https://bwfbadminton.com/player/51682/vladimir-malkov,51682
53,CHN,QIAO Bin,0,53 - 25,"$13,235.00","27,428 / 10",https://bwfbadminton.com/player/78828/qiao-bin,78828
54,CHN,HUANG Yu Xiang,0,44 - 24,"$18,960.00","27,000 / 11",https://bwfbadminton.com/player/71261/huang-yu-xiang,71261
55,DEN,Anders ANTONSEN,0,84 - 10,"$8,955.50","26,854 / 9",https://bwfbadminton.com/player/91554/anders-antonsen,91554
56,POL,Adrian DZIOLKO,+1,119 - 74,"$3,985.00","26,814 / 26",https://bwfbadminton.com/player/48962/adrian-dziolko,48962
57,MAS,GOH Soon Huat,-1,96 - 74,"$14,213.50","25,960 / 15",https://bwfbadminton.com/player/92593/goh-soon-huat,92593
58,ISR,Misha ZILBERMAN,+2,184 - 164,"$9,929.75","25,878 / 30",https://bwfbadminton.com/player/52953/misha-zilberman,52953
59,CUB,Osleni GUERRERO,-1,183 - 49,"$12,670.00","25,610 / 18",https://bwfbadminton.com/player/52364/osleni-guerrero,52364
60,BRA,Ygor COELHO,+3,94 - 36,"$2,212.50","25,559 / 19",https://bwfbadminton.com/player/96429/ygor-coelho,96429
61,IRL,Scott EVANS,0,218 - 200,"$21,464.30","25,155 / 14",https://bwfbadminton.com/player/15241/scott-evans,15241
62,UKR,Artem POCHTAROV,0,100 - 76,"$3,098.00","24,900 / 26",https://bwfbadminton.com/player/20301/artem-pochtarov,20301
63,SGP,Zi Liang Derek WONG,+4,183 - 152,"$26,975.50","24,371 / 19",https://bwfbadminton.com/player/52701/zi-liang-derek-wong,52701
64,USA,Howard SHU,0,148 - 104,"$5,900.00","24,260 / 31",https://bwfbadminton.com/player/46776/howard-shu,46776
65,POR,Pedro MARTINS,0,174 - 73,"$11,714.00","24,230 / 24",https://bwfbadminton.com/player/57034/pedro-martins,57034
66,DEN,Rasmus FLADBERG,0,149 - 75,"$10,865.75","24,150 / 18",https://bwfbadminton.com/player/70937/rasmus-fladberg,70937
67,MAS,CHONG Wei Feng,-18,192 - 131,"$60,083.50","23,970 / 16",https://bwfbadminton.com/player/52030/chong-wei-feng,52030
68,AUT,David OBERNOSTERER,0,178 - 139,"$7,300.50","23,544 / 26",https://bwfbadminton.com/player/54459/david-obernosterer,54459
69,FRA,Thomas ROUXEL,0,139 - 110,"$6,224.75","23,457 / 22",https://bwfbadminton.com/player/38500/thomas-rouxel,38500
70,CAN,Martin GIUFFRE,0,68 - 45,"$2,140.00","23,440 / 23",https://bwfbadminton.com/player/42227/martin-giuffre,42227
71,UKR,Dmytro ZAVADSKY,0,253 - 152,"$20,353.50","23,382 / 24",https://bwfbadminton.com/player/54439/dmytro-zavadsky,54439
72,CZE,Petr KOUKAL,+7,283 - 243,"$12,782.75","22,756 / 32",https://bwfbadminton.com/player/15585/petr-koukal,15585
73,MEX,Lino MUNOZ,-1,89 - 86,"$1,723.75","22,737 / 26",https://bwfbadminton.com/player/96461/lino-munoz,96461
74,FIN,Ville LANG,-1,332 - 173,"$31,723.00","22,605 / 19",https://bwfbadminton.com/player/15453/ville-lang,15453
75,CZE,Milan LUDIK,-1,104 - 84,"$2,161.25","22,518 / 25",https://bwfbadminton.com/player/95385/milan-ludik,95385
76,AUT,Luka WRABER,-1,168 - 129,"$7,265.00","22,108 / 29",https://bwfbadminton.com/player/56274/luka-wraber,56274
77,JPN,Kanta TSUNEYAMA,-1,41 - 21,"$1,984.25","21,970 / 12",https://bwfbadminton.com/player/57823/kanta-tsuneyama,57823
78,RSA,Jacob MALIEKAL,-1,138 - 70,"$2,162.50","21,832 / 25",https://bwfbadminton.com/player/38907/jacob-maliekal,38907
79,FRA,Lucas CORVEE,+5,129 - 83,"$4,380.50","21,705 / 18",https://bwfbadminton.com/player/89416/lucas-corvee,89416
80,MAS,SOONG Joo Ven,-2,121 - 60,"$1,932.50","21,661 / 15",https://bwfbadminton.com/player/87117/soong-joo-ven,87117
81,FRA,Lucas CLAERBOUT,+1,106 - 85,"$2,502.50","21,094 / 18",https://bwfbadminton.com/player/89506/lucas-claerbout,89506
82,IND,Anand PAWAR,-2,216 - 145,"$25,298.50","21,070 / 14",https://bwfbadminton.com/player/51598/anand-pawar,51598
83,JPN,Kazumasa SAKAI,-2,111 - 52,"$22,961.50","21,070 / 10",https://bwfbadminton.com/player/91280/kazumasa-sakai,91280
84,KOR,HEO Kwanghee,-1,66 - 32,"$3,052.50","20,569 / 11",https://bwfbadminton.com/player/68718/heo-kwanghee,68718
85,UGA,Edwin EKIRING,0,155 - 108,"$5,260.00","20,330 / 23",https://bwfbadminton.com/player/52645/edwin-ekiring,52645
86,ITA,Indra Bagus ADE CHANDRA,0,141 - 66,"$9,089.50","20,110 / 12",https://bwfbadminton.com/player/54234/indra-bagus-ade-chandra,54234
87,CHN,GUO Kai,0,36 - 25,"$5,785.00","19,670 / 9",https://bwfbadminton.com/player/83303/guo-kai,83303
88,USA,Bjorn SEGUIN,0,136 - 122,"$3,168.75","19,537 / 24",https://bwfbadminton.com/player/60178/bjorn-seguin,60178
89,IND,GURUSAIDUTT R. M. V.,0,154 - 100,"$33,948.00","19,410 / 12",https://bwfbadminton.com/player/32722/gurusaidutt-r-m-v,32722
