rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,DEN,Viktor AXELSEN,0,282 - 109,"$474,552.00","78,564 / 10",https://bwfbadminton.com/player/25831/viktor-axelsen,25831
2,KOR,SON Wanho,0,304 - 164,"$403,045.00","74,832 / 17",https://bwfbadminton.com/player/54346/son-wanho,54346
3,CHN,SHI Yu Qi,0,145 - 49,"$236,142.50","70,012 / 14",https://bwfbadminton.com/player/57945/shi-yu-qi,57945
4,IND,KIDAMBI Srikanth,0,181 - 90,"$399,077.50","68,535 / 10",https://bwfbadminton.com/player/93627/kidambi-srikanth,93627
5,CHN,CHEN Long,0,376 - 86,"$1,093,627.50","66,298 / 11",https://bwfbadminton.com/player/75787/chen-long,75787
6,TPE,CHOU Tien Chen,0,275 - 164,"$286,043.50","65,744 / 17",https://bwfbadminton.com/player/34810/chou-tien-chen,34810
7,MAS,LEE Chong Wei,0,697 - 134,"$1,789,457.50","64,523 / 13",https://bwfbadminton.com/player/50152/lee-chong-wei,50152
8,IND,PRANNOY H. S.,+1,171 - 99,"$107,181.00","58,760 / 13",https://bwfbadminton.com/player/83950/prannoy-h-s,83950
9,HKG,NG Ka Long Angus,+1,208 - 113,"$152,153.50","54,898 / 16",https://bwfbadminton.com/player/45171/ng-ka-long-angus,45171
10,CHN,LIN Dan,-2,630 - 96,"$951,905.00","54,673 / 12",https://bwfbadminton.com/player/50906/lin-dan,50906
11,INA,Jonatan CHRISTIE,0,149 - 70,"$89,230.50","52,133 / 16",https://bwfbadminton.com/player/73442/jonatan-christie,73442
12,JPN,Kento MOMOTA,0,213 - 66,"$305,989.00","51,937 / 12",https://bwfbadminton.com/player/89785/kento-momota,89785
13,INA,Anthony Sinisuka GINTING,0,124 - 68,"$113,455.00","50,475 / 15",https://bwfbadminton.com/player/95661/anthony-sinisuka-ginting,95661
14,JPN,Kenta NISHIMOTO,0,118 - 63,"$48,733.75","50,377 / 15",https://bwfbadminton.com/player/85394/kenta-nishimoto,85394
15,TPE,WANG Tzu Wei,0,190 - 108,"$75,891.00","48,132 / 15",https://bwfbadminton.com/player/87375/wang-tzu-wei,87375
