rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,KOR,SON Wanho,0,269 - 146,"$307,992.50","72,968 / 18",https://bwfbadminton.com/player/54346/son-wanho,54346
2,MAS,LEE Chong Wei,0,672 - 124,"$1,686,207.50","71,704 / 9",https://bwfbadminton.com/player/50152/lee-chong-wei,50152
3,DEN,Viktor AXELSEN,0,247 - 103,"$311,602.00","69,240 / 14",https://bwfbadminton.com/player/25831/viktor-axelsen,25831
4,CHN,SHI Yu Qi,0,104 - 37,"$86,835.00","67,887 / 17",https://bwfbadminton.com/player/57945/shi-yu-qi,57945
5,CHN,CHEN Long,+1,345 - 76,"$969,390.00","67,646 / 9",https://bwfbadminton.com/player/75787/chen-long,75787
6,TPE,CHOU Tien Chen,-1,244 - 146,"$210,668.50","64,681 / 19",https://bwfbadminton.com/player/34810/chou-tien-chen,34810
7,CHN,LIN Dan,0,606 - 86,"$896,555.00","64,566 / 10",https://bwfbadminton.com/player/50906/lin-dan,50906
8,IND,KIDAMBI Srikanth,+3,154 - 81,"$186,227.50","58,583 / 11",https://bwfbadminton.com/player/93627/kidambi-srikanth,93627
9,HKG,NG Ka Long Angus,-1,189 - 97,"$107,403.50","58,129 / 20",https://bwfbadminton.com/player/45171/ng-ka-long-angus,45171
10,DEN,Jan O JORGENSEN,-1,381 - 191,"$464,184.50","57,660 / 11",https://bwfbadminton.com/player/54431/jan-o-jorgensen,54431
11,KOR,LEE Hyun Il,+3,451 - 146,"$280,367.50","54,450 / 11",https://bwfbadminton.com/player/11704/lee-hyun-il,11704
12,CHN,TIAN Houwei,+1,134 - 74,"$230,375.00","52,770 / 16",https://bwfbadminton.com/player/12903/tian-houwei,12903
13,THA,Tanongsak SAENSOMBOONSUK,-3,222 - 177,"$138,735.00","51,850 / 17",https://bwfbadminton.com/player/54513/tanongsak-saensomboonsuk,54513
14,HKG,WONG Wing Ki Vincent,-2,191 - 162,"$122,295.00","51,382 / 18",https://bwfbadminton.com/player/55280/wong-wing-ki-vincent,55280
15,IND,SAI PRANEETH B.,+1,170 - 83,"$72,845.00","49,180 / 17",https://bwfbadminton.com/player/42776/sai-praneeth-b,42776
16,IND,Ajay JAYARAM,-1,227 - 159,"$94,656.00","48,565 / 17",https://bwfbadminton.com/player/55351/ajay-jayaram,55351
17,CHN,QIAO Bin,0,77 - 37,"$78,430.00","46,764 / 13",https://bwfbadminton.com/player/78828/qiao-bin,78828
18,TPE,WANG Tzu Wei,0,163 - 90,"$37,913.50","46,520 / 21",https://bwfbadminton.com/player/87375/wang-tzu-wei,87375
19,DEN,Anders ANTONSEN,0,123 - 24,"$27,657.75","46,510 / 17",https://bwfbadminton.com/player/91554/anders-antonsen,91554
20,ENG,Rajiv OUSEPH,+2,334 - 192,"$89,337.80","44,410 / 11",https://bwfbadminton.com/player/51613/rajiv-ouseph,51613
21,GER,Marc ZWIEBLER,-1,373 - 202,"$169,872.00","44,375 / 19",https://bwfbadminton.com/player/50858/marc-zwiebler,50858
22,INA,Jonatan CHRISTIE,+2,124 - 54,"$43,635.50","43,377 / 11",https://bwfbadminton.com/player/73442/jonatan-christie,73442
23,IND,PRANNOY H. S.,-2,145 - 86,"$57,566.00","43,075 / 18",https://bwfbadminton.com/player/83950/prannoy-h-s,83950
24,HKG,HU Yun,-1,205 - 171,"$181,787.50","41,512 / 20",https://bwfbadminton.com/player/14869/hu-yun,14869
25,CHN,HUANG Yu Xiang,0,71 - 43,"$40,262.50","41,510 / 17",https://bwfbadminton.com/player/71261/huang-yu-xiang,71261
26,INA,Anthony Sinisuka GINTING,0,100 - 52,"$37,060.00","41,418 / 15",https://bwfbadminton.com/player/95661/anthony-sinisuka-ginting,95661
