rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,ESP,Carolina MARIN,0,249 - 76,"$333,056.00","83,680 / 13",https://bwfbadminton.com/player/18228/carolina-marin,18228
2,CHN,LI Xue Rui,0,287 - 59,"$785,160.00","81,014 / 15",https://bwfbadminton.com/player/64643/li-xue-rui,64643
3,CHN,WANG Yihan,+1,370 - 91,"$885,538.00","77,934 / 15",https://bwfbadminton.com/player/53938/wang-yihan,53938
4,THA,Ratchanok INTANON,+1,252 - 113,"$436,680.00","76,904 / 19",https://bwfbadminton.com/player/35642/ratchanok-intanon,35642
5,JPN,Nozomi OKUHARA,-2,169 - 57,"$249,015.50","74,067 / 17",https://bwfbadminton.com/player/96713/nozomi-okuhara,96713
6,CHN,WANG Shixian,0,284 - 87,"$751,672.50","71,284 / 15",https://bwfbadminton.com/player/83064/wang-shixian,83064
7,KOR,SUNG Jihyun,+1,261 - 130,"$394,440.00","71,056 / 22",https://bwfbadminton.com/player/76594/sung-jihyun,76594
8,IND,Saina NEHWAL,+1,351 - 144,"$681,112.50","70,209 / 13",https://bwfbadminton.com/player/52748/saina-nehwal,52748
9,TPE,TAI Tzu Ying,-2,214 - 115,"$364,730.00","69,911 / 16",https://bwfbadminton.com/player/61427/tai-tzu-ying,61427
10,IND,PUSARLA V. Sindhu,0,189 - 87,"$141,308.00","63,099 / 20",https://bwfbadminton.com/player/73173/pusarla-v-sindhu,73173
11,CHN,SUN Yu,+1,117 - 45,"$146,455.00","58,972 / 18",https://bwfbadminton.com/player/92736/sun-yu,92736
12,JPN,Akane YAMAGUCHI,-1,131 - 49,"$122,807.50","56,249 / 19",https://bwfbadminton.com/player/96312/akane-yamaguchi,96312
13,JPN,Sayaka SATO,0,180 - 112,"$88,852.50","49,270 / 20",https://bwfbadminton.com/player/77317/sayaka-sato,77317
14,THA,Porntip BURANAPRASERTSUK,0,198 - 161,"$128,940.00","48,776 / 21",https://bwfbadminton.com/player/54511/porntip-buranaprasertsuk,54511
15,CHN,HE Bing Jiao,0,97 - 24,"$70,370.00","48,501 / 13",https://bwfbadminton.com/player/87434/he-bing-jiao,87434
16,SCO,Kirsty GILMOUR,0,181 - 85,"$47,547.50","47,430 / 18",https://bwfbadminton.com/player/48528/kirsty-gilmour,48528
17,KOR,BAE Yeon Ju,0,236 - 146,"$206,202.50","46,962 / 25",https://bwfbadminton.com/player/22455/bae-yeon-ju,22455
18,THA,Busanan ONGBAMRUNGPHAN,0,153 - 91,"$69,320.00","45,944 / 24",https://bwfbadminton.com/player/58271/busanan-ongbamrungphan,58271
19,THA,Nitchaon JINDAPOL,+1,148 - 101,"$74,935.50","41,489 / 20",https://bwfbadminton.com/player/57971/nitchaon-jindapol,57971
20,JPN,Yui HASHIMOTO,+1,100 - 57,"$70,939.00","40,029 / 16",https://bwfbadminton.com/player/43256/yui-hashimoto,43256
21,JPN,Minatsu MITANI,-2,127 - 90,"$99,390.00","39,958 / 18",https://bwfbadminton.com/player/66644/minatsu-mitani,66644
22,DEN,Line Højmark KJAERSFELDT,0,134 - 85,"$19,041.50","39,441 / 19",https://bwfbadminton.com/player/63437/line-hojmark-kjaersfeldt,63437
23,CAN,Michelle LI,0,223 - 90,"$60,704.50","39,010 / 16",https://bwfbadminton.com/player/84523/michelle-li,84523
24,TPE,PAI Yu Po,0,96 - 86,"$31,280.00","37,030 / 23",https://bwfbadminton.com/player/99925/pai-yu-po,99925
25,GER,Karin SCHNAASE-BEERMANN,+1,237 - 179,"$26,056.55","36,564 / 25",https://bwfbadminton.com/player/51204/karin-schnaase-beermann,51204
26,BUL,Linda ZETCHIRI,+1,309 - 192,"$34,137.40","35,802 / 17",https://bwfbadminton.com/player/15105/linda-zetchiri,15105
27,USA,Beiwen ZHANG,-2,161 - 82,"$61,343.62","35,680 / 11",https://bwfbadminton.com/player/53806/beiwen-zhang,53806
28,INA,Maria Febe KUSUMASTUTI,0,146 - 123,"$46,669.00","35,678 / 18",https://bwfbadminton.com/player/66974/maria-febe-kusumastuti,66974
29,MAS,TEE Jing Yi,0,105 - 114,"$25,061.00","34,885 / 16",https://bwfbadminton.com/player/53153/tee-jing-yi,53153
30,TPE,HSU Ya Ching,0,91 - 87,"$31,035.00","34,738 / 23",https://bwfbadminton.com/player/74561/hsu-ya-ching,74561
31,SGP,LIANG Xiaoyu,+1,110 - 75,"$12,290.00","34,360 / 19",https://bwfbadminton.com/player/47646/liang-xiaoyu,47646
32,ESP,Beatriz CORRALES,+1,210 - 101,"$26,036.25","34,110 / 16",https://bwfbadminton.com/player/95780/beatriz-corrales,95780
33,HKG,YIP Pui Yin,+1,205 - 196,"$108,610.00","32,881 / 20",https://bwfbadminton.com/player/51649/yip-pui-yin,51649
34,GER,Olga ROJ,+1,224 - 93,"$30,653.00","31,980 / 17",https://bwfbadminton.com/player/15323/olga-roj,15323
35,USA,Iris WANG,+2,123 - 111,"$17,611.75","31,496 / 27",https://bwfbadminton.com/player/57798/iris-wang,57798
36,HKG,CHEUNG Ngan Yi,+2,79 - 69,"$18,690.00","31,381 / 17",https://bwfbadminton.com/player/87709/cheung-ngan-yi,87709
37,JPN,Ayumi MINE,-6,72 - 37,"$9,077.25","30,810 / 9",https://bwfbadminton.com/player/69082/ayumi-mine,69082
38,INA,Lindaweni FANETRI,+2,108 - 103,"$48,727.50","30,510 / 18",https://bwfbadminton.com/player/96130/lindaweni-fanetri,96130
39,VIE,Thi Trang (B) VU,+2,86 - 69,"$11,620.00","30,140 / 20",https://bwfbadminton.com/player/71455/thi-trang-b-vu,71455
40,THA,Pornpawee CHOCHUWONG,+2,106 - 50,"$8,288.00","29,726 / 9",https://bwfbadminton.com/player/84062/pornpawee-chochuwong,84062
41,DEN,Anna Thea MADSEN,+2,135 - 56,"$8,167.75","29,404 / 15",https://bwfbadminton.com/player/50331/anna-thea-madsen,50331
42,JPN,Aya OHORI,+2,89 - 45,"$15,735.00","29,086 / 12",https://bwfbadminton.com/player/95189/aya-ohori,95189
43,TUR,Neslihan YIGIT,+2,182 - 76,"$10,917.75","29,054 / 14",https://bwfbadminton.com/player/87885/neslihan-yigit,87885
44,MAS,GOH Jin Wei,-8,83 - 23,"$7,310.25","28,626 / 11",https://bwfbadminton.com/player/69012/goh-jin-wei,69012
45,CHN,CHEN Yu Fei,+1,65 - 24,"$15,530.00","28,272 / 8",https://bwfbadminton.com/player/78778/chen-yu-fei,78778
46,DEN,Natalia Koch ROHDE,+2,78 - 34,"$6,157.00","27,602 / 14",https://bwfbadminton.com/player/78534/natalia-koch-rohde,78534
47,JPN,Kaori IMABEPPU,-8,155 - 99,"$52,544.50","26,950 / 9",https://bwfbadminton.com/player/53392/kaori-imabeppu,53392
48,INA,Hanna RAMADINI,+1,90 - 52,"$9,817.50","26,101 / 14",https://bwfbadminton.com/player/97207/hanna-ramadini,97207
49,UKR,Maria ULITINA,+1,141 - 81,"$7,832.00","26,072 / 15",https://bwfbadminton.com/player/76349/maria-ulitina,76349
50,RUS,Natalia PERMINOVA,+1,121 - 111,"$8,450.75","25,970 / 22",https://bwfbadminton.com/player/78605/natalia-perminova,78605
51,INA,Fitriani FITRIANI,+2,53 - 33,"$8,219.75","25,692 / 16",https://bwfbadminton.com/player/96892/fitriani-fitriani,96892
52,FRA,Delphine LANSAC,+2,122 - 64,"$4,458.75","25,591 / 16",https://bwfbadminton.com/player/79056/delphine-lansac,79056
53,INA,Dinar Dyah AYUSTINE,+2,54 - 40,"$5,835.50","25,260 / 12",https://bwfbadminton.com/player/61665/dinar-dyah-ayustine,61665
54,CZE,Kristina GAVNHOLT,+2,210 - 155,"$22,331.00","25,182 / 14",https://bwfbadminton.com/player/51739/kristina-gavnholt,51739
55,USA,SCHAFER Rong,-3,100 - 64,"$10,732.25","25,030 / 18",https://bwfbadminton.com/player/14621/schafer-rong,14621
56,KOR,KIM Hyo Min,-9,107 - 54,"$19,430.50","24,935 / 10",https://bwfbadminton.com/player/91598/kim-hyo-min,91598
57,DEN,Mette POULSEN,+8,101 - 62,"$6,126.00","24,707 / 17",https://bwfbadminton.com/player/43761/mette-poulsen,43761
58,ITA,Jeanine CICOGNINI,0,208 - 152,"$19,327.50","24,650 / 22",https://bwfbadminton.com/player/51842/jeanine-cicognini,51842
59,FIN,Airi MIKKELA,+7,91 - 83,"$2,710.00","24,458 / 20",https://bwfbadminton.com/player/55770/airi-mikkela,55770
