rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,TPE,TAI Tzu Ying,0,289 - 128,"$750,105.00","93,839 / 15",https://bwfbadminton.com/player/61427/tai-tzu-ying,61427
2,JPN,Akane YAMAGUCHI,0,208 - 71,"$496,045.00","84,129 / 18",https://bwfbadminton.com/player/96312/akane-yamaguchi,96312
3,THA,Ratchanok INTANON,0,309 - 137,"$630,667.50","78,390 / 20",https://bwfbadminton.com/player/35642/ratchanok-intanon,35642
4,IND,PUSARLA V. Sindhu,0,252 - 107,"$402,958.00","75,826 / 17",https://bwfbadminton.com/player/73173/pusarla-v-sindhu,73173
5,ESP,Carolina MARIN,0,299 - 96,"$448,678.50","73,587 / 17",https://bwfbadminton.com/player/18228/carolina-marin,18228
6,KOR,SUNG Jihyun,0,321 - 159,"$586,997.50","66,875 / 19",https://bwfbadminton.com/player/76594/sung-jihyun,76594
7,JPN,Nozomi OKUHARA,0,200 - 69,"$354,853.00","63,567 / 12",https://bwfbadminton.com/player/96713/nozomi-okuhara,96713
8,CHN,CHEN Yu Fei,0,119 - 47,"$92,557.50","62,850 / 19",https://bwfbadminton.com/player/78778/chen-yu-fei,78778
9,CHN,HE Bing Jiao,0,143 - 48,"$194,382.50","61,242 / 18",https://bwfbadminton.com/player/87434/he-bing-jiao,87434
10,USA,Beiwen ZHANG,+1,210 - 101,"$145,138.62","58,250 / 19",https://bwfbadminton.com/player/53806/beiwen-zhang,53806
11,IND,Saina NEHWAL,-1,378 - 161,"$744,147.50","55,520 / 14",https://bwfbadminton.com/player/52748/saina-nehwal,52748
12,THA,Nitchaon JINDAPOL,0,188 - 124,"$134,195.50","52,284 / 18",https://bwfbadminton.com/player/57971/nitchaon-jindapol,57971
13,JPN,Sayaka SATO,0,204 - 136,"$198,535.00","50,825 / 18",https://bwfbadminton.com/player/77317/sayaka-sato,77317
14,CHN,SUN Yu,0,148 - 59,"$237,080.00","46,711 / 8",https://bwfbadminton.com/player/92736/sun-yu,92736
15,SCO,Kirsty GILMOUR,0,215 - 101,"$62,475.50","45,377 / 18",https://bwfbadminton.com/player/48528/kirsty-gilmour,48528
16,JPN,Aya OHORI,0,128 - 62,"$70,225.00","45,120 / 13",https://bwfbadminton.com/player/95189/aya-ohori,95189
17,KOR,LEE Jang Mi,0,96 - 47,"$34,760.00","44,430 / 15",https://bwfbadminton.com/player/84992/lee-jang-mi,84992
18,CAN,Michelle LI,+1,255 - 109,"$80,862.00","42,825 / 20",https://bwfbadminton.com/player/84523/michelle-li,84523
19,CHN,CHEN Xiao Xin,+1,48 - 29,"$35,367.50","40,650 / 12",https://bwfbadminton.com/player/58637/chen-xiao-xin,58637
20,JPN,Sayaka TAKAHASHI,+1,162 - 71,"$92,392.00","39,920 / 12",https://bwfbadminton.com/player/34890/sayaka-takahashi,34890
21,TPE,PAI Yu Po,+1,116 - 105,"$44,265.00","39,700 / 16",https://bwfbadminton.com/player/99925/pai-yu-po,99925
22,JPN,Saena KAWAKAMI,-4,78 - 24,"$51,137.50","39,340 / 9",https://bwfbadminton.com/player/61568/saena-kawakami,61568
23,THA,Busanan ONGBAMRUNGPHAN,+1,179 - 116,"$113,962.50","38,903 / 17",https://bwfbadminton.com/player/58271/busanan-ongbamrungphan,58271
24,HKG,CHEUNG Ngan Yi,+5,102 - 93,"$49,485.00","38,872 / 17",https://bwfbadminton.com/player/87709/cheung-ngan-yi,87709
25,THA,Pornpawee CHOCHUWONG,-2,144 - 71,"$30,290.50","38,756 / 16",https://bwfbadminton.com/player/84062/pornpawee-chochuwong,84062
