rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,TPE,TAI Tzu Ying,0,303 - 128,"$848,105.00","85,917 / 12",https://bwfbadminton.com/player/61427/tai-tzu-ying,61427
2,JPN,Akane YAMAGUCHI,0,224 - 74,"$541,295.00","84,413 / 14",https://bwfbadminton.com/player/96312/akane-yamaguchi,96312
3,IND,PUSARLA V. Sindhu,0,260 - 109,"$419,233.00","78,824 / 14",https://bwfbadminton.com/player/73173/pusarla-v-sindhu,73173
4,THA,Ratchanok INTANON,0,314 - 141,"$633,067.50","74,647 / 15",https://bwfbadminton.com/player/35642/ratchanok-intanon,35642
5,CHN,CHEN Yu Fei,0,134 - 54,"$125,557.50","69,729 / 15",https://bwfbadminton.com/player/78778/chen-yu-fei,78778
6,ESP,Carolina MARIN,0,311 - 97,"$454,353.50","64,816 / 13",https://bwfbadminton.com/player/18228/carolina-marin,18228
7,KOR,SUNG Jihyun,0,330 - 165,"$594,147.50","59,703 / 17",https://bwfbadminton.com/player/76594/sung-jihyun,76594
8,CHN,HE Bing Jiao,0,149 - 53,"$197,657.50","59,599 / 15",https://bwfbadminton.com/player/87434/he-bing-jiao,87434
9,JPN,Nozomi OKUHARA,0,215 - 72,"$362,703.00","59,167 / 11",https://bwfbadminton.com/player/96713/nozomi-okuhara,96713
10,IND,Saina NEHWAL,0,382 - 165,"$751,622.50","55,194 / 12",https://bwfbadminton.com/player/52748/saina-nehwal,52748
11,THA,Nitchaon JINDAPOL,0,200 - 130,"$140,770.50","53,562 / 16",https://bwfbadminton.com/player/57971/nitchaon-jindapol,57971
12,USA,Beiwen ZHANG,0,212 - 103,"$147,038.62","51,070 / 15",https://bwfbadminton.com/player/53806/beiwen-zhang,53806
13,JPN,Sayaka SATO,0,210 - 139,"$202,060.00","49,406 / 16",https://bwfbadminton.com/player/77317/sayaka-sato,77317
14,CAN,Michelle LI,0,266 - 113,"$83,862.00","47,051 / 21",https://bwfbadminton.com/player/84523/michelle-li,84523
15,JPN,Sayaka TAKAHASHI,0,176 - 72,"$115,042.00","44,976 / 10",https://bwfbadminton.com/player/34890/sayaka-takahashi,34890
16,JPN,Aya OHORI,0,133 - 65,"$76,250.00","44,786 / 13",https://bwfbadminton.com/player/95189/aya-ohori,95189
17,DEN,Mia BLICHFELDT,0,143 - 67,"$22,201.50","44,002 / 18",https://bwfbadminton.com/player/91224/mia-blichfeldt,91224
18,KOR,LEE Jang Mi,0,103 - 53,"$38,035.00","43,854 / 17",https://bwfbadminton.com/player/84992/lee-jang-mi,84992
19,HKG,CHEUNG Ngan Yi,0,102 - 100,"$54,760.00","40,841 / 16",https://bwfbadminton.com/player/87709/cheung-ngan-yi,87709
20,RUS,Evgeniya KOSETSKAYA,0,142 - 87,"$19,775.50","39,231 / 17",https://bwfbadminton.com/player/92400/evgeniya-kosetskaya,92400
21,SCO,Kirsty GILMOUR,0,216 - 103,"$63,475.50","39,230 / 14",https://bwfbadminton.com/player/48528/kirsty-gilmour,48528
22,CHN,CHEN Xiao Xin,+1,51 - 31,"$37,292.50","38,565 / 12",https://bwfbadminton.com/player/58637/chen-xiao-xin,58637
23,TPE,PAI Yu Po,+2,119 - 112,"$45,965.00","37,772 / 17",https://bwfbadminton.com/player/99925/pai-yu-po,99925
24,KOR,KIM Hyo Min,+2,122 - 76,"$43,488.00","36,600 / 12",https://bwfbadminton.com/player/91598/kim-hyo-min,91598
25,THA,Pornpawee CHOCHUWONG,-1,149 - 75,"$32,515.50","36,502 / 15",https://bwfbadminton.com/player/84062/pornpawee-chochuwong,84062
26,JPN,Saena KAWAKAMI,+1,81 - 26,"$55,037.50","36,090 / 9",https://bwfbadminton.com/player/61568/saena-kawakami,61568
27,DEN,Line Højmark KJAERSFELDT,+1,166 - 115,"$32,328.75","35,609 / 17",https://bwfbadminton.com/player/63437/line-hojmark-kjaersfeldt,63437
28,ESP,Beatriz CORRALES,+1,256 - 129,"$43,858.00","35,453 / 18",https://bwfbadminton.com/player/95780/beatriz-corrales,95780
29,THA,Busanan ONGBAMRUNGPHAN,-7,188 - 118,"$118,187.50","34,969 / 14",https://bwfbadminton.com/player/58271/busanan-ongbamrungphan,58271
30,JPN,Minatsu MITANI,0,154 - 112,"$133,992.50","34,960 / 11",https://bwfbadminton.com/player/66644/minatsu-mitani,66644
31,MAS,GOH Jin Wei,0,120 - 46,"$31,604.25","34,865 / 11",https://bwfbadminton.com/player/69012/goh-jin-wei,69012
32,CHN,GAO Fang Jie,0,50 - 23,"$47,530.00","34,266 / 8",https://bwfbadminton.com/player/78116/gao-fang-jie,78116
33,INA,Gregoria Mariska TUNJUNG,0,113 - 43,"$18,873.75","34,240 / 12",https://bwfbadminton.com/player/83802/gregoria-mariska-tunjung,83802
34,TPE,LEE Chia Hsin,0,88 - 82,"$19,711.50","33,733 / 15",https://bwfbadminton.com/player/76717/lee-chia-hsin,76717
35,MAS,Soniia CHEAH,0,108 - 68,"$22,281.50","33,709 / 13",https://bwfbadminton.com/player/18143/soniia-cheah,18143
36,HKG,YIP Pui Yin,0,214 - 224,"$123,925.00","32,664 / 13",https://bwfbadminton.com/player/51649/yip-pui-yin,51649
37,DEN,Natalia Koch ROHDE,+1,117 - 60,"$13,453.25","31,374 / 16",https://bwfbadminton.com/player/78534/natalia-koch-rohde,78534
38,INA,Fitriani FITRIANI,+1,83 - 60,"$25,753.50","30,659 / 12",https://bwfbadminton.com/player/96892/fitriani-fitriani,96892
39,TUR,Neslihan YIGIT,+1,229 - 92,"$20,564.75","30,634 / 13",https://bwfbadminton.com/player/87885/neslihan-yigit,87885
40,MAS,LEE Ying Ying,+1,115 - 64,"$10,549.20","28,981 / 11",https://bwfbadminton.com/player/64889/lee-ying-ying,64889
41,BUL,Linda ZETCHIRI,+1,328 - 213,"$44,735.40","28,063 / 11",https://bwfbadminton.com/player/15105/linda-zetchiri,15105
42,CAN,Rachel HONDERICH,+1,73 - 45,"$6,302.50","27,764 / 10",https://bwfbadminton.com/player/95664/rachel-honderich,95664
43,INA,Dinar Dyah AYUSTINE,+1,83 - 60,"$16,593.00","27,743 / 10",https://bwfbadminton.com/player/61665/dinar-dyah-ayustine,61665
44,JPN,Haruko SUZUKI,-7,31 - 19,"$9,128.75","27,570 / 9",https://bwfbadminton.com/player/81880/haruko-suzuki,81880
