rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,JPN / JPN,"Mayu MATSUMOTO, Wakana NAGAHARA",0,136 - 50,"$401,079.98","98,883 / 21","https://bwfbadminton.com/player/81609/mayu-matsumoto,https://bwfbadminton.com/player/77832/wakana-nagahara","81609, 77832"
2,JPN / JPN,"Misaki MATSUTOMO, Ayaka TAKAHASHI",0,391 - 137,"$1,298,280.98","92,452 / 23","https://bwfbadminton.com/player/43851/misaki-matsutomo,https://bwfbadminton.com/player/16981/ayaka-takahashi","43851, 16981"
3,JPN / JPN,"Yuki FUKUSHIMA, Sayaka HIROTA",0,189 - 60,"$706,517.73","92,052 / 21","https://bwfbadminton.com/player/71023/yuki-fukushima,https://bwfbadminton.com/player/94519/sayaka-hirota","71023, 94519"
4,CHN / CHN,"CHEN Qing Chen, JIA Yi Fan",0,180 - 54,"$741,630.01","85,410 / 18","https://bwfbadminton.com/player/94125/chen-qing-chen,https://bwfbadminton.com/player/65144/jia-yi-fan","94125, 65144"
5,INA / INA,"Greysia POLII, Apriyani RAHAYU",0,95 - 38,"$505,825.64","77,935 / 20","https://bwfbadminton.com/player/14729/greysia-polii,https://bwfbadminton.com/player/81462/apriyani-rahayu","14729, 81462"
6,KOR / KOR,"LEE Sohee, SHIN Seungchan",0,150 - 77,"$680,431.85","74,750 / 16","https://bwfbadminton.com/player/91292/lee-sohee,https://bwfbadminton.com/player/87473/shin-seungchan","91292, 87473"
7,CHN / CHN,"DU Yue, LI Yin Hui",0,66 - 36,"$210,632.52","72,469 / 19","https://bwfbadminton.com/player/65984/du-yue,https://bwfbadminton.com/player/82249/li-yin-hui","65984, 82249"
8,JPN / JPN,"Shiho TANAKA, Koharu YONEMOTO",0,119 - 59,"$354,261.32","65,230 / 16","https://bwfbadminton.com/player/96927/shiho-tanaka,https://bwfbadminton.com/player/26238/koharu-yonemoto","96927, 26238"
9,KOR / KOR,"KIM Soyeong, KONG Heeyong",0,45 - 20,"$249,806.86","63,135 / 14","https://bwfbadminton.com/player/55874/kim-soyeong,https://bwfbadminton.com/player/71391/kong-heeyong","55874, 71391"
10,BUL / BUL,"Gabriela STOEVA, Stefani STOEVA",0,260 - 111,"$206,329.78","60,650 / 16","https://bwfbadminton.com/player/43840/gabriela-stoeva,https://bwfbadminton.com/player/46169/stefani-stoeva","43840, 46169"
11,THA / THA,"Jongkolphan KITITHARAKUL, Rawinda PRAJONGJAI",0,147 - 104,"$203,824.14","58,577 / 22","https://bwfbadminton.com/player/24686/jongkolphan-kititharakul,https://bwfbadminton.com/player/84669/rawinda-prajongjai","24686, 84669"
12,KOR / KOR,"JUNG Kyung Eun, CHANG Ye Na",0,54 - 32,"$621,325.12","57,080 / 14","https://bwfbadminton.com/player/16745/jung-kyung-eun,https://bwfbadminton.com/player/54361/chang-ye-na","16745, 54361"
13,CHN / CHN,"LI Wen Mei, ZHENG Yu",0,26 - 18,"$69,360.66","55,840 / 18","https://bwfbadminton.com/player/78837/li-wen-mei,https://bwfbadminton.com/player/85331/zheng-yu","78837, 85331"
14,JPN / JPN,"Nami MATSUYAMA, Chiharu SHIDA",0,71 - 28,"$109,491.77","53,450 / 13","https://bwfbadminton.com/player/65212/nami-matsuyama,https://bwfbadminton.com/player/68282/chiharu-shida","65212, 68282"
15,MAS / MAS,"CHOW Mei Kuan, LEE Meng Yean",0,93 - 79,"$86,379.72","50,604 / 19","https://bwfbadminton.com/player/12411/chow-mei-kuan,https://bwfbadminton.com/player/93215/lee-meng-yean","12411, 93215"
16,INA / INA,"Della Destiara HARIS, Rizki Amelia PRADIPTA",+3,48 - 34,"$177,831.75","46,413 / 13","https://bwfbadminton.com/player/66961/della-destiara-haris,https://bwfbadminton.com/player/91654/rizki-amelia-pradipta","66961, 91654"
17,JPN / JPN,"Ayako SAKURAMOTO, Yukiko TAKAHATA",-1,82 - 26,"$129,289.89","46,404 / 14","https://bwfbadminton.com/player/83211/ayako-sakuramoto,https://bwfbadminton.com/player/63277/yukiko-takahata","83211, 63277"
18,MAS / MAS,"Vivian HOO, YAP Cheng Wen",+5,24 - 21,"$116,441.87","44,732 / 21","https://bwfbadminton.com/player/54149/vivian-hoo,https://bwfbadminton.com/player/95841/yap-cheng-wen","54149, 95841"
19,INA / INA,"Ni Ketut Mahadewi ISTARANI, Rizki Amelia PRADIPTA",-2,15 - 11,"$153,570.12","44,706 / 12","https://bwfbadminton.com/player/84362/ni-ketut-mahadewi-istarani,https://bwfbadminton.com/player/91654/rizki-amelia-pradipta","84362, 91654"
20,IND / IND,"Ashwini PONNAPPA, REDDY N. Sikki",-2,46 - 51,"$83,864.61","44,549 / 20","https://bwfbadminton.com/player/49765/ashwini-ponnappa,https://bwfbadminton.com/player/17515/reddy-n-sikki","49765, 17515"
21,DEN / DEN,"Maiken FRUERGAARD, Sara THYGESEN",+4,87 - 84,"$59,439.77","43,857 / 13","https://bwfbadminton.com/player/70042/maiken-fruergaard,https://bwfbadminton.com/player/68189/sara-thygesen","70042, 68189"
22,RUS / RUS,"Ekaterina MALKOVA, Alina DAVLETOVA",-2,68 - 46,"$41,467.50","43,703 / 25","https://bwfbadminton.com/player/81907/ekaterina-malkova,https://bwfbadminton.com/player/72565/alina-davletova","81907, 72565"
23,THA / THA,"Puttita SUPAJIRAKUL, Sapsiree TAERATTANACHAI",-1,98 - 86,"$123,930.55","43,430 / 14","https://bwfbadminton.com/player/68441/puttita-supajirakul,https://bwfbadminton.com/player/67158/sapsiree-taerattanachai","68441, 67158"
24,CHN / CHN,"DONG Wen Jing, FENG Xue Ying",-3,25 - 26,"$29,156.22","43,310 / 19","https://bwfbadminton.com/player/64949/dong-wen-jing,https://bwfbadminton.com/player/59576/feng-xue-ying","64949, 59576"
25,NED / NED,"Selena PIEK, Cheryl SEINEN",-1,50 - 27,"$97,454.19","42,061 / 15","https://bwfbadminton.com/player/67176/selena-piek,https://bwfbadminton.com/player/70503/cheryl-seinen","67176, 70503"
26,KOR / KOR,"KIM Hyerin, BAEK Ha Na",0,20 - 8,"$93,636.23","41,200 / 9","https://bwfbadminton.com/player/57824/kim-hyerin,https://bwfbadminton.com/player/56706/baek-ha-na","57824, 56706"
27,ENG / ENG,"Chloe BIRCH, Lauren SMITH",0,38 - 20,"$55,692.63","40,393 / 23","https://bwfbadminton.com/player/50715/chloe-birch,https://bwfbadminton.com/player/80918/lauren-smith","50715, 80918"
28,FRA / FRA,"Emilie LEFEL, Anne TRAN",0,87 - 67,"$34,454.51","39,993 / 27","https://bwfbadminton.com/player/54079/emilie-lefel,https://bwfbadminton.com/player/98854/anne-tran","54079, 98854"
29,CHN / CHN,"LIU Xuan Xuan, XIA Yu Ting",0,32 - 19,"$25,941.86","38,860 / 14","https://bwfbadminton.com/player/60567/liu-xuan-xuan,https://bwfbadminton.com/player/68753/xia-yu-ting","60567, 68753"
30,CAN / CAN,"Rachel HONDERICH, Kristen TSAI",0,41 - 20,"$17,382.39","38,042 / 21","https://bwfbadminton.com/player/95664/rachel-honderich,https://bwfbadminton.com/player/72164/kristen-tsai","95664, 72164"
31,INA / INA,"Yulfira BARKAH, Jauza Fadhila SUGIARTO",0,21 - 22,"$27,120.81","36,850 / 20","https://bwfbadminton.com/player/77784/yulfira-barkah,https://bwfbadminton.com/player/58698/jauza-fadhila-sugiarto","77784, 58698"
32,FRA / FRA,"Delphine DELRUE, Lea PALERMO",+1,61 - 49,"$26,027.13","35,255 / 24","https://bwfbadminton.com/player/70762/delphine-delrue,https://bwfbadminton.com/player/98329/lea-palermo","70762, 98329"
33,THA / THA,"Chayanit CHALADCHALAM, Phataimas MUENWONG",+1,93 - 72,"$54,935.60","35,090 / 14","https://bwfbadminton.com/player/67168/chayanit-chaladchalam,https://bwfbadminton.com/player/56460/phataimas-muenwong","67168, 56460"
34,KOR / KOR,"KIM Hye Jeong, KONG Heeyong",-2,12 - 9,"$120,963.12","35,090 / 8","https://bwfbadminton.com/player/83419/kim-hye-jeong,https://bwfbadminton.com/player/71391/kong-heeyong","83419, 71391"
35,TPE / TPE,"HSU Ya Ching, HU Ling Fang",0,16 - 20,"$45,369.31","33,940 / 20","https://bwfbadminton.com/player/74561/hsu-ya-ching,https://bwfbadminton.com/player/87176/hu-ling-fang","74561, 87176"
36,AUS / AUS,"Setyana MAPASA, Gronya SOMERVILLE",0,84 - 38,"$41,455.03","33,923 / 13","https://bwfbadminton.com/player/77441/setyana-mapasa,https://bwfbadminton.com/player/58488/gronya-somerville","77441, 58488"
37,JPN / JPN,"Naoko FUKUMAN, Kurumi YONAO",0,135 - 88,"$189,199.48","31,230 / 7","https://bwfbadminton.com/player/56251/naoko-fukuman,https://bwfbadminton.com/player/56417/kurumi-yonao","56251, 56417"
38,SWE / SWE,"Emma KARLSSON, Johanna MAGNUSSON",+2,51 - 36,"$9,212.50","30,814 / 15","https://bwfbadminton.com/player/98566/emma-karlsson,https://bwfbadminton.com/player/73556/johanna-magnusson","98566, 73556"
39,IND / IND,"JAKKAMPUDI Meghana, S RAM Poorvisha",+2,32 - 45,"$19,444.12","30,700 / 13","https://bwfbadminton.com/player/59206/jakkampudi-meghana,https://bwfbadminton.com/player/73496/s-ram-poorvisha","59206, 73496"
40,HKG / HKG,"NG Wing Yung, YEUNG Nga Ting",-2,22 - 27,"$15,851.10","30,370 / 20","https://bwfbadminton.com/player/87616/ng-wing-yung,https://bwfbadminton.com/player/68015/yeung-nga-ting","87616, 68015"
41,GER / GER,"Linda EFLER, Isabel HERTTRICH",+2,15 - 24,"$32,186.85","30,076 / 21","https://bwfbadminton.com/player/83942/linda-efler,https://bwfbadminton.com/player/98052/isabel-herttrich","83942, 98052"
42,GER / GER,"Johanna GOLISZEWSKI, Lara KAEPPLEIN",-3,37 - 49,"$36,448.88","29,893 / 19","https://bwfbadminton.com/player/52280/johanna-goliszewski,https://bwfbadminton.com/player/88659/lara-kaepplein","52280, 88659"
43,TPE / TPE,"CHANG Ching  Hui, YANG Ching Tun",-1,29 - 42,"$12,978.97","29,064 / 22","https://bwfbadminton.com/player/75270/chang-ching-hui,https://bwfbadminton.com/player/78687/yang-ching-tun","75270, 78687"
44,HKG / HKG,"NG Tsz Yau, YUEN Sin Ying",0,20 - 25,"$21,366.50","28,698 / 19","https://bwfbadminton.com/player/61986/ng-tsz-yau,https://bwfbadminton.com/player/88932/yuen-sin-ying","61986, 88932"
45,TUR /  / TUR,"Bengisu ERCETIN, Nazlıcan INCI",0,63 - 33,"$7,087.50","28,690 / 14","https://bwfbadminton.com/player/62426/bengisu-ercetin,https://bwfbadminton.com/player/73023/nazl%C4%B1can-inci","62426, 73023"
46,IND / IND,"Pooja DANDU, SANJANA SANTOSH",0,19 - 18,"$10,568.96","27,270 / 19","https://bwfbadminton.com/player/63677/pooja-dandu,https://bwfbadminton.com/player/83690/sanjana-santosh","63677, 83690"
47,INA / INA,"Agatha IMANUELA, Siti Fadia Silva RAMADHANTI",0,32 - 26,"$17,568.76","26,140 / 11","https://bwfbadminton.com/player/81486/agatha-imanuela,https://bwfbadminton.com/player/88097/siti-fadia-silva-ramadhanti","81486, 88097"
48,RUS / RUS,"Anastasiia AKCHURINA, Olga MOROZOVA",+1,77 - 47,"$39,830.60","26,020 / 15","https://bwfbadminton.com/player/33989/anastasiia-akchurina,https://bwfbadminton.com/player/85822/olga-morozova","33989, 85822"
49,CHN / CHN,"CHEN Lu, XU Ya",-1,10 - 11,"$22,778.13","25,710 / 9","https://bwfbadminton.com/player/72349/chen-lu,https://bwfbadminton.com/player/67270/xu-ya","72349, 67270"
50,JPN / JPN,"Akane ARAKI, Riko IMAI",0,24 - 9,"$18,697.74","23,430 / 8","https://bwfbadminton.com/player/69819/akane-araki,https://bwfbadminton.com/player/55739/riko-imai","69819, 55739"
51,INA / INA,"Nita Violina MARWAH, Putri SYAIKAH",0,25 - 6,"$6,890.24","23,360 / 8","https://bwfbadminton.com/player/60838/nita-violina-marwah,https://bwfbadminton.com/player/94011/putri-syaikah","60838, 94011"
52,KOR / KOR,"BAEK Ha Na, JUNG Kyung Eun",0,14 - 4,"$345,345.76","23,220 / 5","https://bwfbadminton.com/player/56706/baek-ha-na,https://bwfbadminton.com/player/16745/jung-kyung-eun","56706, 16745"
53,INA / INA,"Febriana Dwipuji KUSUMA, Ribka SUGIARTO",0,24 - 18,"$9,808.72","22,890 / 9","https://bwfbadminton.com/player/79664/febriana-dwipuji-kusuma,https://bwfbadminton.com/player/96455/ribka-sugiarto","79664, 96455"
54,KOR / KOR,"CHANG Ye Na, KIM Hyerin",0,17 - 8,"$369,615.59","22,300 / 5","https://bwfbadminton.com/player/54361/chang-ye-na,https://bwfbadminton.com/player/57824/kim-hyerin","54361, 57824"
55,PER / PER,"Daniela MACIAS, Danica NISHIMURA",0,74 - 54,"$10,086.24","22,234 / 19","https://bwfbadminton.com/player/71252/daniela-macias,https://bwfbadminton.com/player/80894/danica-nishimura","71252, 80894"
56,USA / USA,"Ariel LEE, Sydney LEE",0,6 - 35,"$7,661.88","22,230 / 12","https://bwfbadminton.com/player/59441/ariel-lee,https://bwfbadminton.com/player/84770/sydney-lee","59441, 84770"
57,TPE / TPE,"PAI Yu Po, WU Ti Jung",0,9 - 11,"$37,070.58","21,706 / 11","https://bwfbadminton.com/player/99925/pai-yu-po,https://bwfbadminton.com/player/95143/wu-ti-jung","99925, 95143"
58,EGY / EGY,"Doha HANY, Hadia HOSNY",+3,57 - 34,"$7,576.71","21,686 / 13","https://bwfbadminton.com/player/61746/doha-hany,https://bwfbadminton.com/player/52901/hadia-hosny","61746, 52901"
59,IND / IND,"Aparna BALAN, Sruthi K.P",-1,20 - 15,"$14,561.85","21,510 / 9","https://bwfbadminton.com/player/51651/aparna-balan,https://bwfbadminton.com/player/64219/sruthi-k-p","51651, 64219"
60,EST / EST,"Kati-Kreet MARRAN, Helina RÜÜTEL",-1,26 - 15,"$2,130.38","21,480 / 17","https://bwfbadminton.com/player/66267/kati-kreet-marran,https://bwfbadminton.com/player/75821/helina-rUeUetel","66267, 75821"
61,USA / USA,"Emily KAN, Isabel ZHONG",-1,2 - 20,"$4,902.19","21,110 / 14","https://bwfbadminton.com/player/92293/emily-kan,https://bwfbadminton.com/player/52636/isabel-zhong","92293, 52636"
62,JPN / JPN,"Miki KASHIHARA, Miyuki KATO",0,33 - 21,"$12,649.04","19,670 / 7","https://bwfbadminton.com/player/92052/miki-kashihara,https://bwfbadminton.com/player/98494/miyuki-kato","92052, 98494"
63,GUA / GUA,"Diana CORLETO SOTO, Nikte Alejandra SOTOMAYOR",0,18 - 12,"$4,201.85","19,504 / 13","https://bwfbadminton.com/player/56401/diana-corleto-soto,https://bwfbadminton.com/player/17774/nikte-alejandra-sotomayor","56401, 17774"
64,TPE / TPE,"HSU Ya Ching, WU Ti Jung",0,24 - 49,"$64,193.08","18,850 / 6","https://bwfbadminton.com/player/74561/hsu-ya-ching,https://bwfbadminton.com/player/95143/wu-ti-jung","74561, 95143"
65,SUI / NED,"Nadia FANKHAUSER, Iris TABELING",+4,22 - 20,"$24,533.14","18,670 / 11","https://bwfbadminton.com/player/81375/nadia-fankhauser,https://bwfbadminton.com/player/47517/iris-tabeling","81375, 47517"
66,INA / INA,"Tania Oktaviani KUSUMAH, Vania Arianti SUKOCO",-1,30 - 20,"$15,448.94","18,530 / 7","https://bwfbadminton.com/player/89865/tania-oktaviani-kusumah,https://bwfbadminton.com/player/62428/vania-arianti-sukoco","89865, 62428"
67,BEL / BEL,"Lise JAQUES, Flore VANDENHOUCKE",-1,34 - 30,"$3,243.76","18,384 / 12","https://bwfbadminton.com/player/96665/lise-jaques,https://bwfbadminton.com/player/65846/flore-vandenhoucke","96665, 65846"
68,HUN / HUN,"Nikoletta BUKOVICZKI, Daniella GONDA",-1,22 - 30,$921.24,"18,271 / 17","https://bwfbadminton.com/player/91088/nikoletta-bukoviczki,https://bwfbadminton.com/player/98804/daniella-gonda","91088, 98804"
69,THA / THA,"Ruethaichanok LAISUAN, Supamart MINGCHUA",-1,29 - 31,"$5,783.16","17,950 / 9","https://bwfbadminton.com/player/96990/ruethaichanok-laisuan,https://bwfbadminton.com/player/84287/supamart-mingchua","96990, 84287"
70,UKR / UKR,"Maryna ILYINSKAYA, Yelyzaveta ZHARKA",+9,34 - 32,"$4,195.49","17,662 / 14","https://bwfbadminton.com/player/64424/maryna-ilyinskaya,https://bwfbadminton.com/player/31614/yelyzaveta-zharka","64424, 31614"
71,INA / INA,"Della Destiara HARIS, Tania Oktaviani KUSUMAH",-1,3 - 6,"$92,165.26","17,640 / 6","https://bwfbadminton.com/player/66961/della-destiara-haris,https://bwfbadminton.com/player/89865/tania-oktaviani-kusumah","66961, 89865"
72,DEN / DEN,"Amalie MAGELUND, Freja RAVN",+15,32 - 16,"$6,028.76","16,940 / 8","https://bwfbadminton.com/player/95643/amalie-magelund,https://bwfbadminton.com/player/88933/freja-ravn","95643, 88933"
73,GER / GER,"Annabella JAEGER, Stine KÜSPERT",-2,10 - 12,"$1,768.74","16,920 / 11","https://bwfbadminton.com/player/56675/annabella-jaeger,https://bwfbadminton.com/player/78795/stine-kUespert","56675, 78795"
74,TPE / TPE,"LI Zi  Qing, TENG Chun Hsun",-2,22 - 11,"$3,090.98","16,530 / 8","https://bwfbadminton.com/player/91369/li-zi-qing,https://bwfbadminton.com/player/80299/teng-chun-hsun","91369, 80299"
