rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,JPN / JPN,"Yuki FUKUSHIMA, Sayaka HIROTA",+2,204 - 64,"$795,167.73","94,452 / 20","https://bwfbadminton.com/player/71023/yuki-fukushima,https://bwfbadminton.com/player/94519/sayaka-hirota","71023, 94519"
2,CHN / CHN,"CHEN Qing Chen, JIA Yi Fan",0,196 - 58,"$860,142.51","92,710 / 18","https://bwfbadminton.com/player/94125/chen-qing-chen,https://bwfbadminton.com/player/65144/jia-yi-fan","94125, 65144"
3,JPN / JPN,"Mayu MATSUMOTO, Wakana NAGAHARA",-2,147 - 55,"$436,979.98","91,433 / 21","https://bwfbadminton.com/player/81609/mayu-matsumoto,https://bwfbadminton.com/player/77832/wakana-nagahara","81609, 77832"
4,JPN / JPN,"Misaki MATSUTOMO, Ayaka TAKAHASHI",0,399 - 142,"$1,341,668.48","84,272 / 22","https://bwfbadminton.com/player/43851/misaki-matsutomo,https://bwfbadminton.com/player/16981/ayaka-takahashi","43851, 16981"
5,KOR / KOR,"LEE Sohee, SHIN Seungchan",0,169 - 82,"$790,350.61","80,820 / 16","https://bwfbadminton.com/player/91292/lee-sohee,https://bwfbadminton.com/player/87473/shin-seungchan","91292, 87473"
6,KOR / KOR,"KIM Soyeong, KONG Heeyong",0,64 - 25,"$342,125.62","76,650 / 19","https://bwfbadminton.com/player/55874/kim-soyeong,https://bwfbadminton.com/player/71391/kong-heeyong","55874, 71391"
7,CHN / CHN,"DU Yue, LI Yin Hui",0,76 - 40,"$236,426.28","74,979 / 20","https://bwfbadminton.com/player/65984/du-yue,https://bwfbadminton.com/player/82249/li-yin-hui","65984, 82249"
8,INA / INA,"Greysia POLII, Apriyani RAHAYU",0,103 - 44,"$526,231.90","71,825 / 21","https://bwfbadminton.com/player/14729/greysia-polii,https://bwfbadminton.com/player/81462/apriyani-rahayu","14729, 81462"
9,THA / THA,"Jongkolphan KITITHARAKUL, Rawinda PRAJONGJAI",0,158 - 110,"$257,180.40","60,677 / 24","https://bwfbadminton.com/player/24686/jongkolphan-kititharakul,https://bwfbadminton.com/player/84669/rawinda-prajongjai","24686, 84669"
10,CHN / CHN,"LI Wen Mei, ZHENG Yu",0,33 - 24,"$81,398.18","56,420 / 20","https://bwfbadminton.com/player/78837/li-wen-mei,https://bwfbadminton.com/player/85331/zheng-yu","78837, 85331"
11,BUL / BUL,"Gabriela STOEVA, Stefani STOEVA",0,275 - 116,"$229,092.28","54,300 / 18","https://bwfbadminton.com/player/43840/gabriela-stoeva,https://bwfbadminton.com/player/46169/stefani-stoeva","43840, 46169"
12,MAS / MAS,"CHOW Mei Kuan, LEE Meng Yean",+2,97 - 84,"$96,710.98","53,054 / 19","https://bwfbadminton.com/player/12411/chow-mei-kuan,https://bwfbadminton.com/player/93215/lee-meng-yean","12411, 93215"
13,JPN / JPN,"Nami MATSUYAMA, Chiharu SHIDA",0,79 - 31,"$119,766.77","50,990 / 12","https://bwfbadminton.com/player/65212/nami-matsuyama,https://bwfbadminton.com/player/68282/chiharu-shida","65212, 68282"
14,INA / INA,"Della Destiara HARIS, Rizki Amelia PRADIPTA",+1,60 - 38,"$191,281.75","49,493 / 15","https://bwfbadminton.com/player/66961/della-destiara-haris,https://bwfbadminton.com/player/91654/rizki-amelia-pradipta","66961, 91654"
15,THA / THA,"Puttita SUPAJIRAKUL, Sapsiree TAERATTANACHAI",+2,103 - 91,"$136,549.31","48,330 / 18","https://bwfbadminton.com/player/68441/puttita-supajirakul,https://bwfbadminton.com/player/67158/sapsiree-taerattanachai","68441, 67158"
16,CHN / CHN,"LIU Xuan Xuan, XIA Yu Ting",+3,41 - 25,"$42,629.36","47,290 / 21","https://bwfbadminton.com/player/60567/liu-xuan-xuan,https://bwfbadminton.com/player/68753/xia-yu-ting","60567, 68753"
17,KOR / KOR,"CHANG Ye Na, KIM Hyerin",+3,24 - 13,"$392,809.35","47,110 / 10","https://bwfbadminton.com/player/54361/chang-ye-na,https://bwfbadminton.com/player/57824/kim-hyerin","54361, 57824"
18,JPN / JPN,"Ayako SAKURAMOTO, Yukiko TAKAHATA",0,88 - 32,"$143,483.65","46,744 / 17","https://bwfbadminton.com/player/83211/ayako-sakuramoto,https://bwfbadminton.com/player/63277/yukiko-takahata","83211, 63277"
19,KOR / KOR,"BAEK Ha Na, JUNG Kyung Eun",+6,20 - 8,"$406,720.76","46,420 / 10","https://bwfbadminton.com/player/56706/baek-ha-na,https://bwfbadminton.com/player/16745/jung-kyung-eun","56706, 16745"
20,JPN / JPN,"Shiho TANAKA, Koharu YONEMOTO",-4,119 - 59,"$354,261.32","46,180 / 11","https://bwfbadminton.com/player/96927/shiho-tanaka,https://bwfbadminton.com/player/26238/koharu-yonemoto","96927, 26238"
21,KOR / KOR,"JUNG Kyung Eun, CHANG Ye Na",-9,54 - 32,"$663,609.50","45,150 / 9","https://bwfbadminton.com/player/16745/jung-kyung-eun,https://bwfbadminton.com/player/54361/chang-ye-na","16745, 54361"
22,RUS / RUS,"Ekaterina MALKOVA, Alina DAVLETOVA",+1,73 - 52,"$46,892.50","43,553 / 26","https://bwfbadminton.com/player/81907/ekaterina-malkova,https://bwfbadminton.com/player/72565/alina-davletova","81907, 72565"
23,NED / NED,"Selena PIEK, Cheryl SEINEN",-2,55 - 33,"$106,904.21","43,531 / 19","https://bwfbadminton.com/player/67176/selena-piek,https://bwfbadminton.com/player/70503/cheryl-seinen","67176, 70503"
24,CHN / CHN,"DONG Wen Jing, FENG Xue Ying",-2,28 - 32,"$35,924.96","42,830 / 23","https://bwfbadminton.com/player/64949/dong-wen-jing,https://bwfbadminton.com/player/59576/feng-xue-ying","64949, 59576"
25,CAN / CAN,"Rachel HONDERICH, Kristen TSAI",-1,53 - 27,"$29,607.39","42,152 / 23","https://bwfbadminton.com/player/95664/rachel-honderich,https://bwfbadminton.com/player/72164/kristen-tsai","95664, 72164"
26,IND / IND,"Ashwini PONNAPPA, REDDY N. Sikki",0,50 - 56,"$90,289.61","41,659 / 21","https://bwfbadminton.com/player/49765/ashwini-ponnappa,https://bwfbadminton.com/player/17515/reddy-n-sikki","49765, 17515"
27,MAS /  / MAS,"Vivian HOO, YAP Cheng Wen",0,25 - 26,"$121,354.37","41,452 / 22","https://bwfbadminton.com/player/54149/vivian-hoo,https://bwfbadminton.com/player/95841/yap-cheng-wen","54149, 95841"
28,ENG / ENG,"Chloe BIRCH, Lauren SMITH",+1,45 - 26,"$64,017.63","41,193 / 24","https://bwfbadminton.com/player/50715/chloe-birch,https://bwfbadminton.com/player/80918/lauren-smith","50715, 80918"
29,FRA / FRA,"Emilie LEFEL, Anne TRAN",+1,88 - 73,"$38,667.01","40,913 / 27","https://bwfbadminton.com/player/54079/emilie-lefel,https://bwfbadminton.com/player/98854/anne-tran","54079, 98854"
30,AUS / AUS,"Setyana MAPASA, Gronya SOMERVILLE",+1,88 - 43,"$47,092.53","38,153 / 18","https://bwfbadminton.com/player/77441/setyana-mapasa,https://bwfbadminton.com/player/58488/gronya-somerville","77441, 58488"
31,TPE / TPE,"HSU Ya Ching, HU Ling Fang",+2,20 - 28,"$54,669.31","38,050 / 26","https://bwfbadminton.com/player/74561/hsu-ya-ching,https://bwfbadminton.com/player/87176/hu-ling-fang","74561, 87176"
32,DEN / DEN,"Maiken FRUERGAARD, Sara THYGESEN",0,90 - 89,"$65,264.77","37,007 / 13","https://bwfbadminton.com/player/70042/maiken-fruergaard,https://bwfbadminton.com/player/68189/sara-thygesen","70042, 68189"
33,KOR / KOR,"KIM Hyerin, BAEK Ha Na",-5,20 - 8,"$135,920.61","35,150 / 8","https://bwfbadminton.com/player/57824/kim-hyerin,https://bwfbadminton.com/player/56706/baek-ha-na","57824, 56706"
34,THA / THA,"Chayanit CHALADCHALAM, Phataimas MUENWONG",0,96 - 75,"$57,354.36","35,050 / 15","https://bwfbadminton.com/player/67168/chayanit-chaladchalam,https://bwfbadminton.com/player/56460/phataimas-muenwong","67168, 56460"
35,FRA / FRA,"Delphine DELRUE, Lea PALERMO",0,63 - 55,"$29,795.89","34,285 / 24","https://bwfbadminton.com/player/70762/delphine-delrue,https://bwfbadminton.com/player/98329/lea-palermo","70762, 98329"
36,INA / INA,"Yulfira BARKAH, Jauza Fadhila SUGIARTO",0,21 - 22,"$27,439.69","34,240 / 16","https://bwfbadminton.com/player/77784/yulfira-barkah,https://bwfbadminton.com/player/58698/jauza-fadhila-sugiarto","77784, 58698"
37,INA / INA,"Ni Ketut Mahadewi ISTARANI, Rizki Amelia PRADIPTA",0,15 - 11,"$160,567.00","33,546 / 9","https://bwfbadminton.com/player/84362/ni-ketut-mahadewi-istarani,https://bwfbadminton.com/player/91654/rizki-amelia-pradipta","84362, 91654"
