rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,JPN / JPN,"Yuki FUKUSHIMA, Sayaka HIROTA",0,166 - 55,"$588,467.73","96,958 / 19","https://bwfbadminton.com/player/71023/yuki-fukushima,https://bwfbadminton.com/player/94519/sayaka-hirota","71023, 94519"
2,JPN / JPN,"Mayu MATSUMOTO, Wakana NAGAHARA",0,114 - 44,"$347,104.98","94,390 / 17","https://bwfbadminton.com/player/81609/mayu-matsumoto,https://bwfbadminton.com/player/77832/wakana-nagahara","81609, 77832"
3,JPN / JPN,"Misaki MATSUTOMO, Ayaka TAKAHASHI",0,372 - 130,"$1,233,693.48","89,633 / 21","https://bwfbadminton.com/player/43851/misaki-matsutomo,https://bwfbadminton.com/player/16981/ayaka-takahashi","43851, 16981"
4,CHN / CHN,"CHEN Qing Chen, JIA Yi Fan",0,165 - 50,"$684,392.51","84,296 / 17","https://bwfbadminton.com/player/94125/chen-qing-chen,https://bwfbadminton.com/player/65144/jia-yi-fan","94125, 65144"
5,INA / INA,"Greysia POLII, Apriyani RAHAYU",0,81 - 31,"$492,438.14","80,565 / 19","https://bwfbadminton.com/player/14729/greysia-polii,https://bwfbadminton.com/player/81462/apriyani-rahayu","14729, 81462"
6,JPN / JPN,"Shiho TANAKA, Koharu YONEMOTO",0,109 - 54,"$317,486.32","69,289 / 17","https://bwfbadminton.com/player/96927/shiho-tanaka,https://bwfbadminton.com/player/26238/koharu-yonemoto","96927, 26238"
7,KOR / KOR,"LEE Sohee, SHIN Seungchan",0,137 - 71,"$651,606.85","69,090 / 14","https://bwfbadminton.com/player/91292/lee-sohee,https://bwfbadminton.com/player/87473/shin-seungchan","91292, 87473"
8,CHN / CHN,"DU Yue, LI Yin Hui",0,50 - 29,"$181,682.52","65,500 / 16","https://bwfbadminton.com/player/65984/du-yue,https://bwfbadminton.com/player/82249/li-yin-hui","65984, 82249"
9,BUL / BUL,"Gabriela STOEVA, Stefani STOEVA",0,254 - 109,"$203,517.28","64,000 / 19","https://bwfbadminton.com/player/43840/gabriela-stoeva,https://bwfbadminton.com/player/46169/stefani-stoeva","43840, 46169"
10,THA / THA,"Jongkolphan KITITHARAKUL, Rawinda PRAJONGJAI",0,140 - 97,"$195,361.64","62,706 / 21","https://bwfbadminton.com/player/24686/jongkolphan-kititharakul,https://bwfbadminton.com/player/84669/rawinda-prajongjai","24686, 84669"
11,KOR / KOR,"JUNG Kyung Eun, CHANG Ye Na",0,53 - 31,"$606,640.74","57,800 / 15","https://bwfbadminton.com/player/16745/jung-kyung-eun,https://bwfbadminton.com/player/54361/chang-ye-na","16745, 54361"
12,JPN / JPN,"Ayako SAKURAMOTO, Yukiko TAKAHATA",0,74 - 22,"$118,964.89","55,924 / 15","https://bwfbadminton.com/player/83211/ayako-sakuramoto,https://bwfbadminton.com/player/63277/yukiko-takahata","83211, 63277"
13,JPN / JPN,"Nami MATSUYAMA, Chiharu SHIDA",0,60 - 24,"$91,304.25","51,050 / 12","https://bwfbadminton.com/player/65212/nami-matsuyama,https://bwfbadminton.com/player/68282/chiharu-shida","65212, 68282"
14,MAS / MAS,"CHOW Mei Kuan, LEE Meng Yean",0,89 - 73,"$79,879.72","49,802 / 18","https://bwfbadminton.com/player/12411/chow-mei-kuan,https://bwfbadminton.com/player/93215/lee-meng-yean","12411, 93215"
15,JPN / JPN,"Naoko FUKUMAN, Kurumi YONAO",0,135 - 88,"$188,786.98","47,870 / 14","https://bwfbadminton.com/player/56251/naoko-fukuman,https://bwfbadminton.com/player/56417/kurumi-yonao","56251, 56417"
16,INA / INA,"Della Destiara HARIS, Rizki Amelia PRADIPTA",0,43 - 27,"$166,856.75","47,713 / 12","https://bwfbadminton.com/player/66961/della-destiara-haris,https://bwfbadminton.com/player/91654/rizki-amelia-pradipta","66961, 91654"
17,CHN / CHN,"LI Wen Mei, ZHENG Yu",0,18 - 12,"$52,173.16","46,560 / 12","https://bwfbadminton.com/player/78837/li-wen-mei,https://bwfbadminton.com/player/85331/zheng-yu","78837, 85331"
18,DEN / DEN,"Maiken FRUERGAARD, Sara THYGESEN",0,83 - 76,"$57,439.77","45,768 / 12","https://bwfbadminton.com/player/70042/maiken-fruergaard,https://bwfbadminton.com/player/68189/sara-thygesen","70042, 68189"
19,INA / INA,"Ni Ketut Mahadewi ISTARANI, Rizki Amelia PRADIPTA",0,15 - 11,"$145,120.12","44,706 / 12","https://bwfbadminton.com/player/84362/ni-ketut-mahadewi-istarani,https://bwfbadminton.com/player/91654/rizki-amelia-pradipta","84362, 91654"
20,RUS / RUS,"Ekaterina MALKOVA, Alina DAVLETOVA",0,58 - 37,"$37,342.50","42,453 / 24","https://bwfbadminton.com/player/81907/ekaterina-malkova,https://bwfbadminton.com/player/72565/alina-davletova","81907, 72565"
21,MAS / MAS,"Vivian HOO, YAP Cheng Wen",0,21 - 13,"$109,566.87","42,070 / 15","https://bwfbadminton.com/player/54149/vivian-hoo,https://bwfbadminton.com/player/95841/yap-cheng-wen","54149, 95841"
22,THA / THA,"Puttita SUPAJIRAKUL, Sapsiree TAERATTANACHAI",0,95 - 81,"$117,618.05","41,753 / 10","https://bwfbadminton.com/player/68441/puttita-supajirakul,https://bwfbadminton.com/player/67158/sapsiree-taerattanachai","68441, 67158"
23,IND / IND,"Ashwini PONNAPPA, REDDY N. Sikki",0,42 - 42,"$79,014.61","41,390 / 14","https://bwfbadminton.com/player/49765/ashwini-ponnappa,https://bwfbadminton.com/player/17515/reddy-n-sikki","49765, 17515"
