rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
27,THA / THA,"Bodin ISARA, Nipitphon PHUANGPHUAPET",-1,42 - 26,"$72,060.96","38,588 / 23","https://bwfbadminton.com/player/75983/bodin-isara,https://bwfbadminton.com/player/30342/nipitphon-phuangphuapet","75983, 30342"
28,TPE / TPE,"LEE Jhe-Huei, LEE Yang",0,28 - 20,"$7,177.49","35,863 / 18","https://bwfbadminton.com/player/99102/lee-jhe-huei,https://bwfbadminton.com/player/69448/lee-yang","99102, 69448"
29,THA / THA,"Dechapol PUAVARANUKROH, Kittinupong KEDREN",+1,44 - 45,"$12,227.20","34,391 / 20","https://bwfbadminton.com/player/61731/dechapol-puavaranukroh,https://bwfbadminton.com/player/73633/kittinupong-kedren","61731, 73633"
30,IND / IND,"Pranaav Jerry CHOPRA, Akshay DEWALKAR",-1,75 - 73,"$30,926.69","34,344 / 12","https://bwfbadminton.com/player/57839/pranaav-jerry-chopra,https://bwfbadminton.com/player/55356/akshay-dewalkar","57839, 55356"
31,DEN / DEN,"Mathias CHRISTIANSEN, David DAUGAARD",+1,65 - 33,"$18,555.74","33,340 / 16","https://bwfbadminton.com/player/99521/mathias-christiansen,https://bwfbadminton.com/player/59436/david-daugaard","99521, 59436"
32,JPN / JPN,"Takuro HOKI, Yugo KOBAYASHI",+1,34 - 21,"$6,673.84","31,344 / 14","https://bwfbadminton.com/player/81657/takuro-hoki,https://bwfbadminton.com/player/67903/yugo-kobayashi","81657, 67903"
33,DEN / DEN,"Kasper ANTONSEN, Niclas NOHR",+1,25 - 8,"$13,369.38","31,210 / 11","https://bwfbadminton.com/player/62261/kasper-antonsen,https://bwfbadminton.com/player/64188/niclas-nohr","62261, 64188"
34,JPN / JPN,"Hirokatsu HASHIMOTO, Noriyasu HIRATA",-3,156 - 121,"$133,853.07","29,640 / 9","https://bwfbadminton.com/player/74326/hirokatsu-hashimoto,https://bwfbadminton.com/player/15380/noriyasu-hirata","74326, 15380"
35,INA / INA,"Hardianto HARDIANTO, Kenas Adi HARYANTO",0,35 - 16,"$8,889.85","29,430 / 11","https://bwfbadminton.com/player/69003/hardianto-hardianto,https://bwfbadminton.com/player/76486/kenas-adi-haryanto","69003, 76486"
36,AUS / AUS,"Matthew CHAU, Sawan SERASINGHE",0,51 - 37,"$1,213.12","29,297 / 17","https://bwfbadminton.com/player/78695/matthew-chau,https://bwfbadminton.com/player/75157/sawan-serasinghe","78695, 75157"
37,CHN / CHN,"HUANG Kai Xiang, ZHENG Si Wei",0,31 - 15,"$40,670.00","28,440 / 7","https://bwfbadminton.com/player/83797/huang-kai-xiang,https://bwfbadminton.com/player/83046/zheng-si-wei","83797, 83046"
38,HKG / HKG,"OR Chin Chung, TANG Chun Man",0,19 - 21,"$2,851.85","28,294 / 15","https://bwfbadminton.com/player/75069/or-chin-chung,https://bwfbadminton.com/player/77689/tang-chun-man","75069, 77689"
39,TPE / TPE,"LIAO Min Chun, TSENG Min Hao",0,36 - 36,"$23,409.97","28,280 / 15","https://bwfbadminton.com/player/53230/liao-min-chun,https://bwfbadminton.com/player/71729/tseng-min-hao","53230, 71729"
40,USA / USA,"Sattawat PONGNAIRAT, Phillip CHEW",+2,66 - 95,"$10,264.27","28,110 / 23","https://bwfbadminton.com/player/74872/sattawat-pongnairat,https://bwfbadminton.com/player/36299/phillip-chew","74872, 36299"
41,INA / INA,"Hendra Aprida GUNAWAN, Markis KIDO",0,5 - 9,"$304,133.37","28,060 / 10","https://bwfbadminton.com/player/11401/hendra-aprida-gunawan,https://bwfbadminton.com/player/50420/markis-kido","11401, 50420"
42,GER / GER,"Raphael BECK, Peter KAESBAUER",+1,24 - 13,"$14,732.38","27,324 / 16","https://bwfbadminton.com/player/61139/raphael-beck,https://bwfbadminton.com/player/54440/peter-kaesbauer","61139, 54440"
43,TPE / TPE,"LIN Chia Yu, Hsiao-Lin WU",+2,46 - 34,"$12,946.85","26,230 / 11","https://bwfbadminton.com/player/66194/lin-chia-yu,https://bwfbadminton.com/player/75026/hsiao-lin-wu","66194, 75026"
44,MEX / MEX,"Job CASTILLO, Lino MUNOZ",+2,39 - 18,"$3,946.82","25,910 / 18","https://bwfbadminton.com/player/93101/job-castillo,https://bwfbadminton.com/player/96461/lino-munoz","93101, 96461"
