rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,INA / INA,"Marcus Fernaldi GIDEON, Kevin Sanjaya SUKAMULJO",0,243 - 53,"$1,629,538.59","104,453 / 19","https://bwfbadminton.com/player/26394/marcus-fernaldi-gideon,https://bwfbadminton.com/player/80057/kevin-sanjaya-sukamuljo","26394, 80057"
2,INA / INA,"Hendra SETIAWAN, Mohammad AHSAN",0,258 - 76,"$1,283,486.26","101,757 / 21","https://bwfbadminton.com/player/51074/hendra-setiawan,https://bwfbadminton.com/player/52749/mohammad-ahsan","51074, 52749"
3,CHN / CHN,"LI Jun Hui, LIU Yu Chen",0,232 - 88,"$730,762.52","82,930 / 20","https://bwfbadminton.com/player/79059/li-jun-hui,https://bwfbadminton.com/player/93367/liu-yu-chen","79059, 93367"
4,JPN / JPN,"Takeshi KAMURA, Keigo SONODA",0,261 - 134,"$622,810.23","82,103 / 20","https://bwfbadminton.com/player/70969/takeshi-kamura,https://bwfbadminton.com/player/90623/keigo-sonoda","70969, 90623"
5,INA / INA,"Fajar ALFIAN, Muhammad Rian ARDIANTO",0,163 - 73,"$260,332.88","77,204 / 22","https://bwfbadminton.com/player/88876/fajar-alfian,https://bwfbadminton.com/player/91130/muhammad-rian-ardianto","88876, 91130"
6,JPN / JPN,"Hiroyuki ENDO, Yuta WATANABE",0,87 - 50,"$507,055.23","73,133 / 19","https://bwfbadminton.com/player/54026/hiroyuki-endo,https://bwfbadminton.com/player/58240/yuta-watanabe","54026, 58240"
7,TPE / TPE,"LEE Yang, WANG Chi-Lin",0,57 - 25,"$337,387.13","65,213 / 30","https://bwfbadminton.com/player/69448/lee-yang,https://bwfbadminton.com/player/96514/wang-chi-lin","69448, 96514"
8,MAS / MAS,"Aaron CHIA, SOH Wooi Yik",0,72 - 46,"$132,531.61","62,948 / 26","https://bwfbadminton.com/player/56203/aaron-chia,https://bwfbadminton.com/player/99389/soh-wooi-yik","56203, 99389"
9,KOR / KOR,"CHOI SolGyu, SEO Seungjae",0,59 - 23,"$155,316.88","59,860 / 20","https://bwfbadminton.com/player/67810/choi-solgyu,https://bwfbadminton.com/player/66513/seo-seungjae","67810, 66513"
10,IND / IND,"Satwiksairaj RANKIREDDY, Chirag SHETTY",0,89 - 57,"$135,538.36","57,500 / 16","https://bwfbadminton.com/player/72435/satwiksairaj-rankireddy,https://bwfbadminton.com/player/70500/chirag-shetty","72435, 70500"
11,DEN / DEN,"Kim ASTRUP, Anders Skaarup RASMUSSEN",+3,207 - 127,"$306,355.51","56,849 / 20","https://bwfbadminton.com/player/92980/kim-astrup,https://bwfbadminton.com/player/44414/anders-skaarup-rasmussen","92980, 44414"
12,CHN / CHN,"HAN Cheng Kai, ZHOU Hao Dong",-1,84 - 55,"$193,256.28","56,387 / 23","https://bwfbadminton.com/player/66491/han-cheng-kai,https://bwfbadminton.com/player/61160/zhou-hao-dong","66491, 61160"
13,MAS / MAS,"GOH V Shem, TAN Wee Kiong",-1,189 - 95,"$482,311.83","55,550 / 22","https://bwfbadminton.com/player/54805/goh-v-shem,https://bwfbadminton.com/player/52071/tan-wee-kiong","54805, 52071"
14,JPN / JPN,"Takuro HOKI, Yugo KOBAYASHI",-1,91 - 80,"$133,017.62","55,388 / 20","https://bwfbadminton.com/player/81657/takuro-hoki,https://bwfbadminton.com/player/67903/yugo-kobayashi","81657, 67903"
15,CHN / CHN,"HE Ji Ting, TAN Qiang",0,67 - 49,"$117,623.74","50,310 / 21","https://bwfbadminton.com/player/59673/he-ji-ting,https://bwfbadminton.com/player/58678/tan-qiang","59673, 58678"
16,TPE / TPE,"LIAO Min Chun, SU Ching Heng",0,97 - 67,"$153,030.84","50,226 / 31","https://bwfbadminton.com/player/53230/liao-min-chun,https://bwfbadminton.com/player/88829/su-ching-heng","53230, 88829"
17,MAS / MAS,"ONG Yew Sin, TEO Ee Yi",0,85 - 62,"$123,389.06","49,229 / 23","https://bwfbadminton.com/player/84064/ong-yew-sin,https://bwfbadminton.com/player/99066/teo-ee-yi","84064, 99066"
18,GER / GER,"Mark LAMSFUSS, Marvin SEIDEL",0,94 - 67,"$55,910.53","48,303 / 22","https://bwfbadminton.com/player/68045/mark-lamsfuss,https://bwfbadminton.com/player/64909/marvin-seidel","68045, 64909"
19,DEN / DEN,"Mathias BOE, Mads CONRAD-PETERSEN",0,32 - 10,"$729,620.49","47,629 / 15","https://bwfbadminton.com/player/50292/mathias-boe,https://bwfbadminton.com/player/42722/mads-conrad-petersen","50292, 42722"
20,TPE / TPE,"LU Ching Yao, YANG Po Han",0,113 - 82,"$141,422.39","46,963 / 30","https://bwfbadminton.com/player/56746/lu-ching-yao,https://bwfbadminton.com/player/59709/yang-po-han","56746, 59709"
21,CHN /  / CHN,"HUANG Kai Xiang, LIU Cheng",0,29 - 17,"$247,541.89","45,520 / 17","https://bwfbadminton.com/player/83797/huang-kai-xiang,https://bwfbadminton.com/player/95396/liu-cheng","83797, 95396"
22,CHN / CHN,"OU Xuan Yi, ZHANG Nan",+1,33 - 15,"$334,061.86","45,320 / 18","https://bwfbadminton.com/player/58241/ou-xuan-yi,https://bwfbadminton.com/player/35357/zhang-nan","58241, 35357"
23,ENG / ENG,"Marcus ELLIS, Chris LANGRIDGE",-1,144 - 83,"$117,357.97","44,584 / 19","https://bwfbadminton.com/player/71349/marcus-ellis,https://bwfbadminton.com/player/51624/chris-langridge","71349, 51624"
24,KOR / KOR,"KO Sung Hyun, SHIN Baekcheol",0,138 - 53,"$535,906.47","44,470 / 12","https://bwfbadminton.com/player/88094/ko-sung-hyun,https://bwfbadminton.com/player/54785/shin-baekcheol","88094, 54785"
25,MAS / MAS,"GOH Sze Fei, Nur IZZUDDIN",0,67 - 52,"$36,917.02","42,332 / 20","https://bwfbadminton.com/player/90768/goh-sze-fei,https://bwfbadminton.com/player/94814/nur-izzuddin","90768, 94814"
26,INA / INA,"Wahyu Nayaka ARYA PANGKARYANIRA, Ade Yusuf SANTOSO",0,125 - 84,"$124,518.74","41,530 / 18","https://bwfbadminton.com/player/59822/wahyu-nayaka-arya-pangkaryanira,https://bwfbadminton.com/player/74945/ade-yusuf-santoso","59822, 74945"
27,TPE / TPE,"LEE Jhe-Huei, YANG Po-Hsuan",0,42 - 24,"$104,860.00","41,350 / 24","https://bwfbadminton.com/player/99102/lee-jhe-huei,https://bwfbadminton.com/player/76275/yang-po-hsuan","99102, 76275"
28,KOR / KOR,"KIM Gi Jung, LEE Yong Dae",0,33 - 15,"$1,088,640.46","40,970 / 12","https://bwfbadminton.com/player/39276/kim-gi-jung,https://bwfbadminton.com/player/52774/lee-yong-dae","39276, 52774"
29,RUS / RUS,"Vladimir IVANOV, Ivan SOZONOV",0,290 - 151,"$243,835.96","40,704 / 24","https://bwfbadminton.com/player/53924/vladimir-ivanov,https://bwfbadminton.com/player/67068/ivan-sozonov","53924, 67068"
30,JPN / JPN,"Takuto INOUE, Yuki KANEKO",0,127 - 93,"$165,312.36","40,657 / 19","https://bwfbadminton.com/player/59419/takuto-inoue,https://bwfbadminton.com/player/95761/yuki-kaneko","59419, 95761"
31,JPN /  / JPN,"Akira KOGA, Taichi SAITO",0,59 - 35,"$29,076.84","39,308 / 16","https://bwfbadminton.com/player/88405/akira-koga,https://bwfbadminton.com/player/77123/taichi-saito","88405, 77123"
32,ENG / ENG,"Ben LANE, Sean VENDY",0,84 - 61,"$25,602.72","38,202 / 19","https://bwfbadminton.com/player/76278/ben-lane,https://bwfbadminton.com/player/72478/sean-vendy","76278, 72478"
33,IND / IND,"ATTRI Manu, REDDY B. Sumeeth",0,139 - 134,"$90,462.60","36,719 / 20","https://bwfbadminton.com/player/59803/attri-manu,https://bwfbadminton.com/player/24172/reddy-b-sumeeth","59803, 24172"
34,CHN / CHN,"DI Zi Jian, WANG Chang",0,28 - 20,"$21,687.51","35,710 / 13","https://bwfbadminton.com/player/87985/di-zi-jian,https://bwfbadminton.com/player/55414/wang-chang","87985, 55414"
35,CAN / CAN,"Jason Anthony HO-SHUE, Nyl YAKURA",0,68 - 47,"$19,718.71","35,708 / 25","https://bwfbadminton.com/player/93791/jason-anthony-ho-shue,https://bwfbadminton.com/player/25322/nyl-yakura","93791, 25322"
36,NED / NED,"Jelle MAAS, Robin TABELING",0,64 - 60,"$39,827.11","33,863 / 23","https://bwfbadminton.com/player/93455/jelle-maas,https://bwfbadminton.com/player/66357/robin-tabeling","93455, 66357"
37,USA / USA,"Phillip CHEW, Ryan CHEW",0,48 - 55,"$18,458.09","32,878 / 26","https://bwfbadminton.com/player/36299/phillip-chew,https://bwfbadminton.com/player/93167/ryan-chew","36299, 93167"
38,SCO / SCO,"Alexander DUNN, Adam HALL",+3,66 - 38,"$15,602.73","32,860 / 13","https://bwfbadminton.com/player/67922/alexander-dunn,https://bwfbadminton.com/player/85159/adam-hall","67922, 85159"
39,GER / GER,"Jones Ralfy JANSEN, Peter KAESBAUER",0,34 - 19,"$35,845.37","32,808 / 24","https://bwfbadminton.com/player/88726/jones-ralfy-jansen,https://bwfbadminton.com/player/54440/peter-kaesbauer","88726, 54440"
40,THA / THA,"Bodin ISARA, Maneepong JONGJIT",0,90 - 58,"$152,577.36","32,507 / 16","https://bwfbadminton.com/player/75983/bodin-isara,https://bwfbadminton.com/player/67172/maneepong-jongjit","75983, 67172"
41,KOR / KOR,"KANG Minhyuk, KIM Jaehwan",-3,29 - 16,"$33,325.13","32,400 / 17","https://bwfbadminton.com/player/77262/kang-minhyuk,https://bwfbadminton.com/player/77618/kim-jaehwan","77262, 77618"
42,MAS / MAS,"Mohamad Arif Ab Latif ARIF, Nur Mohd Azriyn Ayub AZRIYN",0,38 - 31,"$30,405.62","30,250 / 15","https://bwfbadminton.com/player/53131/mohamad-arif-ab-latif-arif,https://bwfbadminton.com/player/70443/nur-mohd-azriyn-ayub-azriyn","53131, 70443"
43,JPN / JPN,"Keiichiro MATSUI, Yoshinori TAKEUCHI",0,48 - 24,"$23,806.73","30,180 / 11","https://bwfbadminton.com/player/74324/keiichiro-matsui,https://bwfbadminton.com/player/89680/yoshinori-takeuchi","74324, 89680"
44,CHN / CHN,"LIU Cheng, ZHANG Nan",0,82 - 39,"$471,602.50","30,090 / 7","https://bwfbadminton.com/player/95396/liu-cheng,https://bwfbadminton.com/player/35357/zhang-nan","95396, 35357"
45,KOR / KOR,"NA Sung Seung, WANG Chan",0,21 - 12,"$8,122.00","28,982 / 12","https://bwfbadminton.com/player/82502/na-sung-seung,https://bwfbadminton.com/player/72646/wang-chan","82502, 72646"
46,INA / INA,"Angga PRATAMA, Ricky KARANDASUWARDI",+1,103 - 61,"$255,629.32","28,310 / 10","https://bwfbadminton.com/player/61855/angga-pratama,https://bwfbadminton.com/player/66493/ricky-karandasuwardi","61855, 66493"
46,INA / INA,"Berry ANGRIAWAN, Hardianto HARDIANTO",+1,58 - 38,"$122,404.21","28,310 / 10","https://bwfbadminton.com/player/23374/berry-angriawan,https://bwfbadminton.com/player/69003/hardianto-hardianto","23374, 69003"
48,IND / IND,"M.R. ARJUN, Ramchandran SHLOK",+1,68 - 45,"$19,760.81","27,364 / 11","https://bwfbadminton.com/player/98935/m-r-arjun,https://bwfbadminton.com/player/75231/ramchandran-shlok","98935, 75231"
49,KOR / KOR,"KIM WonHo, PARK Kyung Hoon",+1,19 - 9,"$36,982.50","26,710 / 10","https://bwfbadminton.com/player/61444/kim-wonho,https://bwfbadminton.com/player/90746/park-kyung-hoon","61444, 90746"
50,INA / INA,"Muhammad Shohibul FIKRI, Bagas MAULANA",+2,29 - 17,"$11,777.09","26,600 / 14","https://bwfbadminton.com/player/91440/muhammad-shohibul-fikri,https://bwfbadminton.com/player/79658/bagas-maulana","91440, 79658"
51,MAS / MAS,"CHOOI Kah Ming, LOW Juan Shen",-5,59 - 36,"$51,429.31","26,150 / 9","https://bwfbadminton.com/player/65113/chooi-kah-ming,https://bwfbadminton.com/player/93757/low-juan-shen","65113, 93757"
