rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,INA / INA,"Marcus Fernaldi GIDEON, Kevin Sanjaya SUKAMULJO",0,116 - 36,"$673,281.09","98,387 / 14","https://bwfbadminton.com/player/26394/marcus-fernaldi-gideon,https://bwfbadminton.com/player/80057/kevin-sanjaya-sukamuljo","26394, 80057"
2,DEN /  / DEN,"Mathias BOE, Carsten MOGENSEN",0,419 - 130,"$1,018,648.36","82,324 / 15","https://bwfbadminton.com/player/50292/mathias-boe,https://bwfbadminton.com/player/51304/carsten-mogensen","50292, 51304"
3,CHN / CHN,"LI Jun Hui, LIU Yu Chen",0,138 - 58,"$323,605.00","79,991 / 18","https://bwfbadminton.com/player/79059/li-jun-hui,https://bwfbadminton.com/player/93367/liu-yu-chen","79059, 93367"
4,CHN / CHN,"LIU Cheng, ZHANG Nan",0,53 - 19,"$393,447.49","79,010 / 18","https://bwfbadminton.com/player/95396/liu-cheng,https://bwfbadminton.com/player/35357/zhang-nan","95396, 35357"
5,JPN / JPN,"Takeshi KAMURA, Keigo SONODA",0,169 - 94,"$297,602.73","71,725 / 19","https://bwfbadminton.com/player/70969/takeshi-kamura,https://bwfbadminton.com/player/90623/keigo-sonoda","70969, 90623"
6,DEN /  / DEN,"Mads CONRAD-PETERSEN, Mads Pieler KOLDING",0,174 - 82,"$257,214.89","65,551 / 18","https://bwfbadminton.com/player/42722/mads-conrad-petersen,https://bwfbadminton.com/player/52958/mads-pieler-kolding","42722, 52958"
7,TPE / TPE,"CHEN Hung Ling, WANG Chi-Lin",+1,101 - 71,"$151,391.97","56,744 / 23","https://bwfbadminton.com/player/53613/chen-hung-ling,https://bwfbadminton.com/player/96514/wang-chi-lin","53613, 96514"
8,TPE / TPE,"LEE Jhe-Huei, LEE Yang",-1,81 - 52,"$110,869.99","56,238 / 22","https://bwfbadminton.com/player/99102/lee-jhe-huei,https://bwfbadminton.com/player/69448/lee-yang","99102, 69448"
9,RUS / RUS,"Vladimir IVANOV, Ivan SOZONOV",0,245 - 112,"$206,210.96","55,000 / 18","https://bwfbadminton.com/player/53924/vladimir-ivanov,https://bwfbadminton.com/player/67068/ivan-sozonov","53924, 67068"
10,JPN / JPN,"Takuto INOUE, Yuki KANEKO",0,92 - 55,"$67,012.36","53,140 / 17","https://bwfbadminton.com/player/59419/takuto-inoue,https://bwfbadminton.com/player/95761/yuki-kaneko","59419, 95761"
11,INA / INA,"Fajar ALFIAN, Muhammad Rian ARDIANTO",0,85 - 40,"$81,384.12","50,960 / 16","https://bwfbadminton.com/player/88876/fajar-alfian,https://bwfbadminton.com/player/91130/muhammad-rian-ardianto","88876, 91130"
12,INA / INA,"Angga PRATAMA, Ricky KARANDASUWARDI",0,92 - 48,"$222,069.34","50,582 / 13","https://bwfbadminton.com/player/61855/angga-pratama,https://bwfbadminton.com/player/66493/ricky-karandasuwardi","61855, 66493"
13,MAS / MAS,"GOH V Shem, TAN Wee Kiong",+3,125 - 55,"$361,345.57","49,873 / 11","https://bwfbadminton.com/player/54805/goh-v-shem,https://bwfbadminton.com/player/52071/tan-wee-kiong","54805, 52071"
14,DEN / DEN,"Kim ASTRUP, Anders Skaarup RASMUSSEN",0,146 - 89,"$142,025.49","49,390 / 18","https://bwfbadminton.com/player/92980/kim-astrup,https://bwfbadminton.com/player/44414/anders-skaarup-rasmussen","92980, 44414"
15,TPE / TPE,"LU Ching Yao, YANG Po Han",-2,67 - 30,"$66,709.87","48,960 / 22","https://bwfbadminton.com/player/56746/lu-ching-yao,https://bwfbadminton.com/player/59709/yang-po-han","56746, 59709"
16,INA / INA,"Mohammad AHSAN, Rian Agung SAPUTRO",-1,22 - 12,"$404,436.26","46,320 / 10","https://bwfbadminton.com/player/52749/mohammad-ahsan,https://bwfbadminton.com/player/60692/rian-agung-saputro","52749, 60692"
17,TPE / TPE,"LIAO Min Chun, SU Ching Heng",0,49 - 17,"$45,280.84","45,660 / 16","https://bwfbadminton.com/player/53230/liao-min-chun,https://bwfbadminton.com/player/88829/su-ching-heng","53230, 88829"
18,JPN / JPN,"Takuro HOKI, Yugo KOBAYASHI",0,58 - 45,"$52,955.10","44,870 / 16","https://bwfbadminton.com/player/81657/takuro-hoki,https://bwfbadminton.com/player/67903/yugo-kobayashi","81657, 67903"
19,CHN / CHN,"HUANG Kai Xiang, WANG Yi Lyu",+1,31 - 18,"$88,416.87","43,470 / 11","https://bwfbadminton.com/player/83797/huang-kai-xiang,https://bwfbadminton.com/player/99452/wang-yi-lyu","83797, 99452"
20,INA / INA,"Berry ANGRIAWAN, Hardianto HARDIANTO",-1,30 - 14,"$75,254.19","43,190 / 13","https://bwfbadminton.com/player/23374/berry-angriawan,https://bwfbadminton.com/player/69003/hardianto-hardianto","23374, 69003"
21,THA / THA,"Bodin ISARA, Nipitphon PHUANGPHUAPET",+1,67 - 44,"$126,369.72","42,458 / 13","https://bwfbadminton.com/player/75983/bodin-isara,https://bwfbadminton.com/player/30342/nipitphon-phuangphuapet","75983, 30342"
22,INA / MAS,"Hendra SETIAWAN, TAN Boon Heong",-1,28 - 18,"$716,316.51","42,060 / 16","https://bwfbadminton.com/player/51074/hendra-setiawan,https://bwfbadminton.com/player/52703/tan-boon-heong","51074, 52703"
